idrecibo,fecha_emision,fecha_efecto,idpoliza,situacion,origen,importe_prima,importe_consorcio,importe_comision 
1296,2021-09-06,2021-09-07,300,CO,MA,89190,22,18
1297,2021-07-16,2021-07-17,1964,CO,AU,48550,17,89
1298,2022-04-30,2022-05-01,1136,CO,AU,56228,8,22
1299,2022-03-24,2022-03-25,215,CO,AU,80508,15,77
1300,2021-10-01,2021-10-02,1054,CO,MA,40124,10,13
1301,2021-08-06,2021-08-07,1620,AN,AU,54892,31,98
1302,2022-05-06,2022-05-07,1076,CO,MA,32618,33,53
1303,2022-01-13,2022-01-14,1786,AN,MA,39169,27,95
1304,2021-03-30,2021-03-31,134,CO,AU,72554,14,10
1305,2021-01-03,2021-01-04,710,CO,MA,58089,16,27
1306,2020-12-09,2020-12-10,1750,AN,MA,21310,1,4
1307,2021-05-24,2021-05-25,1531,CO,MA,15503,19,5
1308,2021-12-23,2021-12-24,734,AN,AU,68055,8,36
1309,2022-05-13,2022-05-14,475,CO,AU,31161,28,75
1310,2021-08-04,2021-08-05,998,AN,MA,51084,23,42
1311,2022-03-14,2022-03-15,998,AN,MA,76472,20,3
1312,2020-10-17,2020-10-18,1215,AN,MA,73424,17,71
1313,2021-12-13,2021-12-14,1631,AN,AU,95627,25,88
1314,2021-03-25,2021-03-26,1889,CO,MA,64783,27,11
1315,2021-08-20,2021-08-21,25,CO,AU,93354,29,63
1316,2021-01-24,2021-01-25,1354,CO,MA,29162,21,2
1317,2021-01-15,2021-01-16,1200,CO,MA,43990,14,17
1318,2021-09-15,2021-09-16,98,AN,AU,24463,31,10
1319,2022-06-16,2022-06-17,228,AN,AU,57218,19,89
1320,2022-05-18,2022-05-19,597,CO,AU,45807,9,24
1321,2021-10-19,2021-10-20,814,AN,AU,64257,19,7
1322,2021-05-22,2021-05-23,311,AN,MA,72697,12,40
1323,2022-01-29,2022-01-30,903,AN,MA,59127,24,92
1324,2022-05-28,2022-05-29,1352,CO,AU,15828,8,96
1325,2021-05-26,2021-05-27,1755,AN,AU,77901,12,18
1326,2021-08-16,2021-08-17,390,AN,MA,22293,17,69
1327,2021-03-09,2021-03-10,1478,AN,MA,98044,10,26
1328,2022-01-08,2022-01-09,975,AN,AU,29470,23,84
1329,2022-06-06,2022-06-07,985,AN,AU,3325,11,11
1330,2021-12-30,2021-12-31,245,CO,MA,46683,34,21
1331,2021-12-18,2021-12-19,1391,CO,AU,96717,2,49
1332,2021-04-04,2021-04-05,1690,AN,AU,16652,31,40
1333,2021-01-15,2021-01-16,1353,AN,AU,86869,5,35
1334,2022-04-25,2022-04-26,512,AN,MA,14946,22,47
1335,2021-09-26,2021-09-27,1435,AN,AU,17117,10,21
1336,2021-09-17,2021-09-18,454,AN,AU,65403,3,92
1337,2020-11-05,2020-11-06,885,CO,MA,1706,24,49
1338,2020-12-24,2020-12-25,1888,CO,MA,79303,3,83
1339,2022-01-01,2022-01-02,1941,CO,MA,85763,7,40
1340,2020-11-25,2020-11-26,1331,CO,MA,60557,17,21
1341,2021-11-12,2021-11-13,1886,AN,AU,82166,18,43
1342,2021-03-05,2021-03-06,863,CO,MA,47604,16,79
1343,2022-03-20,2022-03-21,713,CO,MA,979,11,50
1344,2022-05-16,2022-05-17,499,CO,MA,12390,18,74
1345,2022-05-05,2022-05-06,1753,CO,AU,19916,3,10
1346,2021-12-04,2021-12-05,1328,AN,AU,56290,22,92
1347,2021-04-11,2021-04-12,1551,CO,MA,39689,21,68
1348,2021-05-29,2021-05-30,111,AN,MA,74568,21,12
1349,2021-03-28,2021-03-29,1540,AN,AU,93929,3,53
1350,2021-01-08,2021-01-09,1619,CO,MA,64649,2,29
1351,2020-12-15,2020-12-16,1655,CO,MA,31106,11,77
1352,2022-03-18,2022-03-19,1498,CO,MA,42703,29,57
1353,2021-02-25,2021-02-26,983,AN,AU,23431,24,81
1354,2022-05-03,2022-05-04,1545,CO,MA,20323,17,49
1355,2022-05-08,2022-05-09,1303,CO,AU,70035,29,39
1356,2021-09-04,2021-09-05,1419,CO,MA,24045,13,78
1357,2020-12-26,2020-12-27,1427,AN,AU,32381,8,81
1358,2022-04-07,2022-04-08,1317,AN,MA,66327,21,98
1359,2021-05-18,2021-05-19,1481,AN,MA,78562,28,73
1360,2021-04-02,2021-04-03,1384,AN,AU,82265,22,23
1361,2022-02-09,2022-02-10,895,CO,AU,87743,34,4
1362,2022-04-17,2022-04-18,812,AN,AU,57152,17,87
1363,2021-08-04,2021-08-05,1433,CO,MA,91378,10,9
1364,2021-06-27,2021-06-28,482,AN,MA,16967,29,84
1365,2021-06-10,2021-06-11,602,CO,AU,31036,10,60
1366,2020-11-22,2020-11-23,971,AN,MA,37122,19,68
1367,2021-02-09,2021-02-10,1507,CO,AU,53015,9,97
1368,2022-02-15,2022-02-16,928,CO,AU,47561,30,51
1369,2021-09-21,2021-09-22,992,AN,MA,40584,17,57
1370,2021-12-10,2021-12-11,1123,AN,AU,23034,22,70
1371,2021-02-01,2021-02-02,1370,CO,MA,72568,14,51
1372,2021-10-20,2021-10-21,178,AN,AU,50235,21,20
1373,2021-08-23,2021-08-24,1834,AN,MA,48975,1,62
1374,2021-09-07,2021-09-08,1721,AN,MA,9283,24,66
1375,2021-08-09,2021-08-10,98,CO,AU,17839,21,23
1376,2021-12-17,2021-12-18,1114,CO,AU,16606,32,66
1377,2021-02-10,2021-02-11,1786,AN,MA,35418,25,75
1378,2021-07-21,2021-07-22,378,CO,AU,94443,23,79
1379,2021-10-14,2021-10-15,963,CO,MA,90752,31,46
1380,2021-12-22,2021-12-23,626,AN,MA,16229,4,82
1381,2020-12-04,2020-12-05,85,CO,MA,78524,31,15
1382,2021-07-05,2021-07-06,1482,AN,MA,99204,17,45
1383,2021-02-25,2021-02-26,395,CO,AU,13230,30,77
1384,2022-03-21,2022-03-22,1096,AN,MA,4945,7,15
1385,2022-04-13,2022-04-14,639,AN,AU,69367,12,52
1386,2022-04-14,2022-04-15,106,CO,AU,57726,9,46
1387,2022-03-28,2022-03-29,1135,AN,AU,16998,3,7
1388,2021-03-21,2021-03-22,111,CO,MA,45098,12,64
1389,2021-02-24,2021-02-25,166,CO,MA,77281,34,40
1390,2020-11-19,2020-11-20,1177,CO,MA,48735,31,92
1391,2021-06-21,2021-06-22,1034,AN,MA,59479,24,15
1392,2021-07-15,2021-07-16,829,CO,AU,52916,30,69
1393,2021-07-16,2021-07-17,472,AN,AU,78695,7,77
1394,2021-12-30,2021-12-31,712,CO,AU,18510,6,46
1395,2021-01-24,2021-01-25,485,CO,AU,32264,3,75
1396,2021-10-05,2021-10-06,281,CO,MA,60071,24,49
1397,2022-01-25,2022-01-26,931,CO,MA,14677,31,24
1398,2022-02-28,2022-03-01,1850,CO,MA,91795,19,63
1399,2020-11-29,2020-11-30,1951,AN,MA,39592,22,71
1400,2020-11-19,2020-11-20,287,CO,MA,1435,5,54
1401,2020-11-29,2020-11-30,1628,CO,MA,723,13,85
1402,2022-07-02,2022-07-03,83,AN,AU,2875,22,21
1403,2022-03-31,2022-04-01,191,AN,MA,26100,19,31
1404,2022-04-18,2022-04-19,1993,CO,AU,46560,4,78
1405,2022-05-13,2022-05-14,758,CO,MA,44247,16,76
1406,2022-02-09,2022-02-10,1123,AN,MA,1395,7,37
1407,2021-11-29,2021-11-30,907,CO,MA,14724,1,48
1408,2020-10-22,2020-10-23,354,CO,AU,90522,19,77
1409,2022-06-10,2022-06-11,308,AN,MA,53650,13,59
1410,2021-05-13,2021-05-14,1260,AN,MA,92043,23,24
1411,2022-06-28,2022-06-29,1091,AN,MA,26030,4,13
1412,2021-08-28,2021-08-29,892,AN,MA,43851,8,26
1413,2020-12-20,2020-12-21,1538,AN,MA,95357,11,26
1414,2020-12-19,2020-12-20,676,CO,MA,36533,1,9
1415,2021-12-05,2021-12-06,1648,AN,MA,40685,25,33
1416,2021-08-14,2021-08-15,1370,AN,MA,39353,25,18
1417,2021-09-11,2021-09-12,798,CO,AU,92591,18,15
1418,2020-12-04,2020-12-05,758,CO,AU,4340,33,87
1419,2021-03-17,2021-03-18,395,AN,AU,2392,2,97
1420,2022-02-11,2022-02-12,779,CO,AU,79051,20,55
1421,2021-11-27,2021-11-28,1354,AN,MA,44462,29,96
1422,2022-03-11,2022-03-12,1275,AN,MA,27280,12,23
1423,2022-02-25,2022-02-26,1715,CO,AU,54894,18,91
1424,2021-10-27,2021-10-28,681,AN,AU,19867,26,59
1425,2022-06-26,2022-06-27,5,CO,AU,77844,30,33
1426,2021-05-01,2021-05-02,1139,AN,MA,87714,7,24
1427,2021-12-19,2021-12-20,1028,CO,MA,93588,16,83
1428,2020-10-12,2020-10-13,1626,CO,MA,19925,13,42
1429,2022-01-06,2022-01-07,877,AN,MA,81015,8,20
1430,2021-03-31,2021-04-01,568,AN,AU,90759,26,18
1431,2021-10-20,2021-10-21,905,CO,MA,87818,10,58
1432,2021-09-02,2021-09-03,638,AN,MA,78355,14,1
1433,2021-10-26,2021-10-27,126,AN,AU,7655,30,65
1434,2022-02-13,2022-02-14,598,AN,AU,80588,34,70
1435,2021-12-15,2021-12-16,1200,AN,MA,16187,14,30
1436,2022-03-12,2022-03-13,1702,CO,MA,86000,21,44
1437,2020-12-30,2020-12-31,1239,CO,MA,47821,10,33
1438,2021-09-11,2021-09-12,1692,CO,AU,27239,13,68
1439,2021-05-09,2021-05-10,1037,CO,AU,49189,34,47
1440,2021-01-15,2021-01-16,103,CO,AU,82534,5,8
1441,2021-11-06,2021-11-07,97,AN,MA,58789,4,77
1442,2021-05-26,2021-05-27,519,AN,AU,52930,23,10
1443,2021-11-06,2021-11-07,773,AN,AU,75792,16,79
1444,2021-01-21,2021-01-22,1473,CO,AU,2639,9,96
1445,2022-06-03,2022-06-04,1532,CO,AU,74797,30,26
1446,2022-01-25,2022-01-26,224,AN,MA,32919,4,23
1447,2021-11-08,2021-11-09,1874,CO,AU,12543,7,69
1448,2021-04-07,2021-04-08,1166,CO,AU,92420,10,97
1449,2021-02-07,2021-02-08,879,AN,MA,1016,9,87
1450,2022-04-17,2022-04-18,934,CO,AU,10700,8,59
1451,2021-10-09,2021-10-10,1565,AN,MA,76667,6,62
1452,2022-02-02,2022-02-03,1719,CO,AU,48981,18,13
1453,2022-06-08,2022-06-09,1161,CO,AU,61332,18,92
1454,2021-02-03,2021-02-04,502,CO,MA,57116,7,45
1455,2021-08-31,2021-09-01,619,AN,AU,80105,8,62
1456,2021-12-09,2021-12-10,1727,AN,AU,21816,25,32
1457,2021-06-10,2021-06-11,800,CO,MA,41019,26,51
1458,2022-03-17,2022-03-18,1157,CO,AU,14392,24,89
1459,2021-06-08,2021-06-09,853,AN,MA,14987,9,93
1460,2022-03-01,2022-03-02,594,AN,AU,59407,6,26
1461,2022-03-02,2022-03-03,869,CO,AU,76475,32,54
1462,2020-10-11,2020-10-12,1705,AN,AU,81234,13,30
1463,2022-05-17,2022-05-18,1417,CO,MA,46941,30,3
1464,2021-06-12,2021-06-13,1410,CO,MA,30903,2,12
1465,2022-04-01,2022-04-02,288,CO,MA,70521,26,52
1466,2021-06-13,2021-06-14,442,AN,MA,75613,27,58
1467,2022-02-09,2022-02-10,1158,AN,AU,85339,18,25
1468,2021-12-29,2021-12-30,246,AN,MA,95607,5,70
1469,2020-10-20,2020-10-21,943,AN,MA,12277,3,30
1470,2021-08-16,2021-08-17,524,CO,AU,93799,13,22
1471,2022-06-14,2022-06-15,1911,AN,AU,84725,30,8
1472,2021-07-02,2021-07-03,216,AN,MA,6362,5,28
1473,2022-06-08,2022-06-09,124,AN,MA,13482,13,47
1474,2021-04-17,2021-04-18,50,AN,AU,67828,15,66
1475,2021-09-13,2021-09-14,322,CO,MA,88157,18,44
1476,2021-01-20,2021-01-21,376,AN,AU,9456,5,30
1477,2022-02-14,2022-02-15,580,AN,AU,98087,7,37
1478,2021-03-02,2021-03-03,1167,CO,AU,88714,13,53
1479,2022-06-28,2022-06-29,404,CO,MA,38013,10,18
1480,2022-05-19,2022-05-20,1865,AN,AU,82502,29,53
1481,2020-12-19,2020-12-20,917,CO,AU,17801,4,1
1482,2022-02-11,2022-02-12,53,CO,MA,19229,29,40
1483,2021-02-16,2021-02-17,557,CO,MA,41078,11,8
1484,2020-11-03,2020-11-04,1592,AN,MA,49052,1,97
1485,2021-06-13,2021-06-14,94,AN,MA,67439,15,28
1486,2021-06-29,2021-06-30,1846,AN,AU,85443,17,67
1487,2021-09-09,2021-09-10,1566,CO,MA,95765,14,1
1488,2021-04-19,2021-04-20,1971,AN,MA,89500,22,87
1489,2022-01-20,2022-01-21,1253,CO,MA,4308,9,77
1490,2022-04-11,2022-04-12,256,AN,MA,28540,31,69
1491,2022-02-07,2022-02-08,633,CO,AU,5273,31,54
1492,2020-12-23,2020-12-24,1599,AN,AU,88543,12,78
1493,2020-10-18,2020-10-19,566,CO,AU,16795,15,92
1494,2021-02-05,2021-02-06,81,AN,AU,72630,31,92
1495,2020-11-15,2020-11-16,1695,CO,MA,39534,8,11
1496,2022-05-04,2022-05-05,1797,CO,AU,53358,6,65
1497,2020-11-06,2020-11-07,1367,CO,MA,7127,21,45
1498,2021-05-15,2021-05-16,51,AN,AU,23008,26,55
1499,2020-10-20,2020-10-21,526,AN,AU,42359,33,88
1500,2021-06-30,2021-07-01,158,CO,AU,21290,4,85
1501,2022-02-08,2022-02-09,1547,AN,AU,14900,13,23
1502,2022-01-26,2022-01-27,514,AN,MA,48881,32,89
1503,2021-09-18,2021-09-19,1819,AN,MA,90542,22,44
1504,2022-01-11,2022-01-12,291,CO,AU,35995,34,31
1505,2021-12-31,2022-01-01,1654,CO,AU,60338,7,53
1506,2021-09-10,2021-09-11,785,AN,MA,23165,9,88
1507,2021-11-11,2021-11-12,806,AN,MA,35389,32,50
1508,2021-05-09,2021-05-10,183,AN,AU,84583,13,73
1509,2020-10-12,2020-10-13,1358,CO,MA,35209,22,98
1510,2021-02-28,2021-03-01,1657,CO,MA,76951,10,52
1511,2021-02-27,2021-02-28,1334,AN,AU,71089,30,58
1512,2021-02-20,2021-02-21,1596,AN,AU,36974,20,37
1513,2022-01-04,2022-01-05,950,AN,MA,19087,16,71
1514,2021-07-28,2021-07-29,380,AN,MA,85008,21,91
1515,2022-02-02,2022-02-03,1324,CO,AU,42383,17,32
1516,2020-12-02,2020-12-03,599,CO,AU,54444,29,13
1517,2021-01-04,2021-01-05,390,AN,MA,67039,15,51
1518,2020-12-26,2020-12-27,536,AN,MA,33296,20,46
1519,2021-08-14,2021-08-15,279,CO,MA,75913,4,12
1520,2020-11-05,2020-11-06,1298,CO,AU,18681,7,86
1521,2020-12-09,2020-12-10,1457,CO,AU,51108,2,13
1522,2021-05-11,2021-05-12,246,AN,AU,35174,1,61
1523,2021-04-25,2021-04-26,1369,CO,MA,98361,16,78
1524,2021-05-07,2021-05-08,621,CO,MA,74594,12,6
1525,2022-03-29,2022-03-30,1509,CO,AU,61947,33,93
1526,2020-10-15,2020-10-16,1934,AN,MA,124,32,55
1527,2021-12-05,2021-12-06,1262,AN,AU,57826,32,11
1528,2022-05-10,2022-05-11,1809,AN,AU,72244,9,29
1529,2021-11-01,2021-11-02,18,AN,AU,19215,2,34
1530,2022-05-13,2022-05-14,1892,CO,MA,22924,26,1
1531,2021-07-05,2021-07-06,1867,CO,MA,19779,27,52
1532,2021-10-15,2021-10-16,999,CO,MA,80924,28,11
1533,2021-10-14,2021-10-15,387,AN,AU,55130,3,74
1534,2021-09-16,2021-09-17,808,AN,AU,10556,30,85
1535,2020-11-18,2020-11-19,615,AN,AU,5856,34,92
1536,2022-06-28,2022-06-29,1274,CO,AU,48819,31,22
1537,2021-08-07,2021-08-08,131,CO,MA,76066,20,7
1538,2022-01-15,2022-01-16,1906,AN,AU,46315,9,99
1539,2022-04-10,2022-04-11,633,AN,AU,98790,22,26
1540,2021-11-18,2021-11-19,1949,AN,MA,113,26,60
1541,2022-05-09,2022-05-10,1795,CO,AU,98446,19,15
1542,2021-04-17,2021-04-18,1789,CO,AU,70983,8,51
1543,2021-06-15,2021-06-16,1591,CO,MA,66156,5,94
1544,2022-01-16,2022-01-17,994,CO,MA,97471,11,10
1545,2022-01-05,2022-01-06,1310,AN,AU,44253,32,70
1546,2021-12-29,2021-12-30,1102,CO,AU,22507,10,82
1547,2021-08-03,2021-08-04,1453,CO,AU,40925,19,37
1548,2022-06-21,2022-06-22,28,CO,AU,11562,32,19
1549,2021-09-16,2021-09-17,646,CO,AU,90435,28,21
1550,2021-08-03,2021-08-04,1596,CO,AU,48440,16,48
1551,2021-05-04,2021-05-05,1437,CO,MA,25657,11,22
1552,2022-01-10,2022-01-11,862,CO,AU,77128,7,86
1553,2020-10-31,2020-11-01,907,AN,MA,16438,4,81
1554,2022-04-20,2022-04-21,983,AN,MA,57778,21,4
1555,2021-10-31,2021-11-01,1637,CO,MA,13158,5,13
1556,2021-08-29,2021-08-30,1874,AN,AU,4703,9,76
1557,2022-02-17,2022-02-18,1879,CO,AU,90497,13,98
1558,2020-11-14,2020-11-15,478,AN,MA,11384,16,6
1559,2021-01-17,2021-01-18,794,CO,MA,45703,27,13
1560,2021-08-26,2021-08-27,919,CO,AU,90695,34,67
1561,2021-03-19,2021-03-20,646,AN,MA,53278,13,29
1562,2021-10-27,2021-10-28,1607,AN,AU,47951,26,69
1563,2022-01-11,2022-01-12,728,AN,MA,97696,34,45
1564,2021-08-19,2021-08-20,145,AN,MA,55096,19,45
1565,2020-12-21,2020-12-22,247,AN,MA,67589,5,27
1566,2021-02-27,2021-02-28,779,AN,MA,39028,34,18
1567,2021-05-10,2021-05-11,492,CO,MA,35042,25,37
1568,2021-03-04,2021-03-05,451,CO,MA,19454,9,45
1569,2021-05-03,2021-05-04,1315,CO,AU,21738,34,50
1570,2021-08-10,2021-08-11,565,AN,MA,88010,31,96
1571,2021-12-26,2021-12-27,884,CO,MA,29884,5,34
1572,2021-03-07,2021-03-08,657,CO,MA,60250,21,34
1573,2021-04-16,2021-04-17,130,AN,MA,25452,17,22
1574,2021-10-15,2021-10-16,873,CO,MA,70169,17,24
1575,2022-06-18,2022-06-19,1357,CO,AU,42075,11,75
1576,2021-04-05,2021-04-06,1425,AN,AU,12430,11,30
1577,2021-02-03,2021-02-04,1795,AN,AU,64467,14,87
1578,2021-03-16,2021-03-17,1859,AN,AU,14092,13,95
1579,2021-01-30,2021-01-31,144,CO,MA,85062,10,19
1580,2021-02-20,2021-02-21,520,CO,MA,31572,1,64
1581,2021-09-24,2021-09-25,688,CO,AU,31240,16,32
1582,2020-10-23,2020-10-24,627,AN,AU,54864,32,32
1583,2022-04-20,2022-04-21,93,CO,AU,49677,18,36
1584,2021-01-04,2021-01-05,1727,CO,MA,71936,1,34
1585,2021-03-18,2021-03-19,954,CO,AU,31142,18,85
1586,2021-11-10,2021-11-11,1493,CO,MA,51804,14,15
1587,2022-04-13,2022-04-14,1009,CO,AU,15263,1,71
1588,2022-03-01,2022-03-02,835,AN,AU,79773,5,59
1589,2021-03-05,2021-03-06,399,AN,MA,38303,33,79
1590,2022-05-15,2022-05-16,767,AN,AU,31708,29,22
1591,2021-12-30,2021-12-31,15,CO,MA,95820,8,23
1592,2021-01-15,2021-01-16,406,AN,AU,81923,20,42
1593,2021-06-11,2021-06-12,1650,AN,AU,62835,11,57
1594,2020-11-04,2020-11-05,971,CO,MA,74208,30,46
1595,2021-06-18,2021-06-19,898,CO,AU,33920,27,71
1596,2021-04-22,2021-04-23,1002,CO,MA,96918,15,33
1597,2021-03-03,2021-03-04,978,AN,MA,51317,29,13
1598,2022-03-01,2022-03-02,48,CO,MA,94311,26,54
1599,2022-01-21,2022-01-22,724,AN,MA,23280,23,75
1600,2021-08-15,2021-08-16,951,AN,MA,39680,23,90
1601,2021-12-03,2021-12-04,812,AN,MA,11518,7,84
1602,2021-11-10,2021-11-11,1250,AN,AU,49666,12,87
1603,2022-04-13,2022-04-14,1125,CO,AU,98170,23,29
1604,2021-08-11,2021-08-12,769,CO,MA,28662,11,67
1605,2022-04-22,2022-04-23,1083,CO,AU,69248,12,46
1606,2021-03-07,2021-03-08,439,AN,MA,25758,5,83
1607,2022-01-24,2022-01-25,353,AN,AU,60061,14,57
1608,2021-09-17,2021-09-18,1518,AN,AU,72687,19,81
1609,2021-06-25,2021-06-26,407,AN,MA,55555,22,94
1610,2021-08-27,2021-08-28,112,CO,MA,68495,4,72
1611,2021-03-16,2021-03-17,335,AN,AU,41748,23,31
1612,2021-10-12,2021-10-13,242,AN,AU,59762,20,18
1613,2021-09-06,2021-09-07,1516,AN,MA,85943,9,11
1614,2021-06-20,2021-06-21,1734,CO,MA,62105,9,45
1615,2021-04-19,2021-04-20,1957,CO,AU,91008,15,85
1616,2021-07-13,2021-07-14,478,CO,AU,86169,15,8
1617,2021-05-12,2021-05-13,1383,CO,AU,45596,15,39
1618,2022-02-23,2022-02-24,1043,CO,AU,70993,30,71
1619,2021-08-26,2021-08-27,620,CO,AU,18238,22,57
1620,2021-08-31,2021-09-01,1898,CO,MA,3235,29,66
1621,2021-08-08,2021-08-09,376,CO,MA,97337,7,72
1622,2022-06-21,2022-06-22,744,CO,AU,54688,20,22
1623,2021-01-28,2021-01-29,906,AN,MA,58804,2,4
1624,2021-10-04,2021-10-05,1894,AN,MA,80063,32,2
1625,2021-11-02,2021-11-03,1706,CO,AU,1023,6,46
1626,2021-05-14,2021-05-15,1170,AN,MA,27690,29,8
1627,2021-08-05,2021-08-06,559,CO,AU,629,12,84
1628,2021-07-25,2021-07-26,1284,CO,MA,29245,8,45
1629,2021-02-17,2021-02-18,1455,CO,MA,11831,24,28
1630,2021-04-16,2021-04-17,1675,AN,MA,61585,26,86
1631,2021-06-12,2021-06-13,1883,AN,MA,45787,22,66
1632,2021-10-28,2021-10-29,1532,AN,AU,63442,3,71
1633,2021-07-10,2021-07-11,1184,AN,AU,11956,26,72
1634,2021-06-24,2021-06-25,1051,AN,MA,46867,33,86
1635,2021-05-25,2021-05-26,1943,AN,MA,94482,1,45
1636,2022-02-22,2022-02-23,1391,AN,MA,92421,3,57
1637,2022-03-14,2022-03-15,1696,CO,MA,98974,11,73
1638,2022-03-07,2022-03-08,107,CO,MA,19940,24,45
1639,2021-07-03,2021-07-04,489,AN,AU,16724,22,25
1640,2021-10-08,2021-10-09,804,CO,AU,13505,34,15
1641,2022-01-05,2022-01-06,1623,CO,MA,82047,8,69
1642,2021-03-27,2021-03-28,282,CO,MA,18152,3,78
1643,2021-03-13,2021-03-14,876,CO,MA,44947,30,47
1644,2021-03-26,2021-03-27,1867,AN,AU,76681,8,56
1645,2021-08-23,2021-08-24,1095,AN,MA,16379,29,73
1646,2021-05-05,2021-05-06,968,AN,MA,35986,22,61
1647,2021-12-24,2021-12-25,1660,CO,MA,19025,8,99
1648,2021-08-17,2021-08-18,809,CO,MA,51432,27,38
1649,2021-05-12,2021-05-13,1455,CO,AU,77985,7,12
1650,2021-03-06,2021-03-07,888,AN,AU,55655,32,48
1651,2021-01-29,2021-01-30,863,AN,MA,61178,23,98
1652,2021-05-26,2021-05-27,1541,AN,AU,81067,17,52
1653,2022-03-13,2022-03-14,660,AN,AU,65029,24,55
1654,2021-08-11,2021-08-12,1438,AN,AU,20937,12,51
1655,2021-05-28,2021-05-29,27,AN,AU,49754,23,83
1656,2022-04-10,2022-04-11,255,CO,MA,87170,5,68
1657,2021-03-21,2021-03-22,1929,CO,MA,82308,22,40
1658,2022-03-01,2022-03-02,1462,AN,MA,91357,12,23
1659,2021-03-05,2021-03-06,131,CO,AU,48753,1,9
1660,2021-04-05,2021-04-06,1229,AN,AU,79374,14,49
1661,2021-09-05,2021-09-06,445,CO,AU,86077,25,21
1662,2021-10-14,2021-10-15,121,AN,MA,71650,24,6
1663,2021-12-13,2021-12-14,848,CO,AU,99797,6,7
1664,2022-03-13,2022-03-14,1985,AN,MA,54082,33,30
1665,2020-12-28,2020-12-29,1829,CO,AU,62235,34,14
1666,2021-05-21,2021-05-22,779,AN,AU,92064,21,10
1667,2021-12-29,2021-12-30,1280,AN,AU,23863,29,49
1668,2021-11-07,2021-11-08,1573,AN,AU,31640,6,57
1669,2021-02-12,2021-02-13,1686,AN,AU,26548,30,89
1670,2022-06-26,2022-06-27,870,AN,AU,83111,15,6
1671,2022-06-01,2022-06-02,268,AN,AU,11969,25,33
1672,2021-12-24,2021-12-25,192,CO,AU,43794,7,90
1673,2022-04-17,2022-04-18,1337,AN,AU,14653,7,22
1674,2021-07-16,2021-07-17,143,AN,MA,3433,4,51
1675,2021-06-18,2021-06-19,688,AN,MA,30098,12,70
1676,2022-04-23,2022-04-24,172,CO,MA,14278,5,19
1677,2021-06-30,2021-07-01,213,AN,AU,51737,13,64
1678,2021-08-31,2021-09-01,1259,AN,AU,2752,33,93
1679,2022-04-18,2022-04-19,588,CO,AU,86509,13,81
1680,2022-02-10,2022-02-11,188,CO,MA,12263,25,16
1681,2022-01-17,2022-01-18,1865,CO,MA,58815,2,80
1682,2022-06-11,2022-06-12,1073,AN,MA,86754,11,40
1683,2021-04-24,2021-04-25,714,CO,AU,3252,23,47
1684,2021-01-11,2021-01-12,1113,CO,MA,1680,26,83
1685,2020-10-23,2020-10-24,1195,AN,MA,25566,25,7
1686,2020-11-05,2020-11-06,449,AN,AU,63064,18,27
1687,2022-02-08,2022-02-09,1563,AN,AU,38039,5,43
1688,2021-02-07,2021-02-08,1592,CO,MA,82691,21,7
1689,2022-04-03,2022-04-04,1,AN,AU,58187,7,96
1690,2021-03-07,2021-03-08,1082,CO,AU,92656,7,4
1691,2022-01-17,2022-01-18,1640,AN,MA,99258,34,24
1692,2022-05-10,2022-05-11,941,AN,AU,63611,8,88
1693,2021-02-18,2021-02-19,748,CO,MA,99846,28,41
1694,2020-12-27,2020-12-28,1701,AN,MA,46106,26,87
1695,2020-11-11,2020-11-12,280,CO,MA,53498,34,10
1696,2021-05-23,2021-05-24,1205,CO,AU,25610,2,25
1697,2021-03-08,2021-03-09,674,AN,MA,18402,24,26
1698,2021-07-12,2021-07-13,625,AN,MA,85514,22,78
1699,2020-11-16,2020-11-17,394,CO,AU,25203,25,77
1700,2021-11-06,2021-11-07,1408,CO,AU,66017,10,46
1701,2020-10-21,2020-10-22,206,CO,MA,11280,4,44
1702,2021-02-24,2021-02-25,1220,CO,AU,68508,16,11
1703,2022-04-03,2022-04-04,185,CO,AU,39287,11,60
1704,2021-08-08,2021-08-09,600,AN,MA,96705,33,77
1705,2021-08-09,2021-08-10,1476,AN,MA,25074,29,8
1706,2022-01-09,2022-01-10,1600,AN,AU,90034,27,64
1707,2020-11-21,2020-11-22,1600,CO,AU,87069,15,58
1708,2020-10-13,2020-10-14,352,AN,AU,89801,13,99
1709,2021-05-20,2021-05-21,1269,CO,AU,13092,5,12
1710,2021-01-11,2021-01-12,1698,CO,MA,77382,21,59
1711,2021-07-12,2021-07-13,1842,AN,MA,1607,17,1
1712,2021-06-11,2021-06-12,606,AN,AU,2302,18,21
1713,2021-06-02,2021-06-03,1417,AN,MA,44408,13,72
1714,2021-04-26,2021-04-27,1391,CO,AU,55679,6,18
1715,2021-09-13,2021-09-14,1912,AN,AU,25658,20,76
1716,2022-03-06,2022-03-07,1363,AN,MA,45501,15,54
1717,2022-03-02,2022-03-03,1635,CO,MA,2747,7,28
1718,2022-01-27,2022-01-28,1933,CO,MA,46580,34,14
1719,2021-07-31,2021-08-01,523,CO,MA,89004,4,53
1720,2021-10-05,2021-10-06,272,AN,MA,62113,21,26
1721,2021-02-07,2021-02-08,1785,AN,AU,51033,34,36
1722,2022-01-04,2022-01-05,785,CO,MA,95109,22,54
1723,2020-12-03,2020-12-04,1425,CO,MA,58324,26,73
1724,2021-11-05,2021-11-06,1026,AN,AU,33197,7,19
