idpago,idsiniestro,estado,fecha_pago,importe_pago,tipo_pago 
1563,73,CO,2022-02-27,83233,E
1564,193,AN,9999-12-31,22615,T
1565,1504,AN,9999-12-31,98345,T
1566,2260,AN,9999-12-31,61655,T
1567,1692,AN,9999-12-31,72251,T
1568,1298,AN,9999-12-31,49009,T
1569,628,AN,9999-12-31,30671,T
1570,2481,AN,9999-12-31,5314,E
1571,132,CO,2021-01-09,92150,T
1572,3386,CO,2021-01-08,4169,T
1573,226,AN,9999-12-31,332,E
1574,2189,CO,2022-03-06,5396,E
1575,1419,CO,2022-02-08,96800,E
1576,2100,AN,9999-12-31,33130,E
1577,1457,CO,2021-10-03,38620,E
1578,1805,AN,9999-12-31,54461,E
1579,2680,CO,2020-11-01,767,T
1580,2695,CO,2021-04-18,27871,T
1581,1233,AN,9999-12-31,38348,E
1582,2981,AN,9999-12-31,76082,E
1583,416,AN,9999-12-31,51507,T
1584,1414,AN,9999-12-31,44722,T
1585,1764,CO,2022-06-20,92767,T
1586,1276,CO,2021-10-07,19384,T
1587,62,AN,9999-12-31,47644,T
1588,1723,AN,9999-12-31,41377,E
1589,2523,CO,2022-01-25,68832,E
1590,3401,AN,9999-12-31,73880,T
1591,22,AN,9999-12-31,90241,T
1592,1168,CO,2022-04-08,92743,T
1593,520,CO,2022-03-28,90728,T
1594,858,AN,9999-12-31,67187,E
1595,3430,CO,2021-11-13,1341,E
1596,1721,AN,9999-12-31,12396,T
1597,1352,CO,2021-06-05,30155,T
1598,1490,AN,9999-12-31,35693,E
1599,3637,AN,9999-12-31,57033,E
1600,1688,CO,2022-05-10,26574,T
1601,2546,CO,2021-09-25,64283,E
1602,3603,AN,9999-12-31,17761,T
1603,2226,CO,2021-10-29,50209,E
1604,3334,CO,2021-07-21,45583,E
1605,1179,AN,9999-12-31,92386,T
1606,284,AN,9999-12-31,99364,T
1607,3909,AN,9999-12-31,9472,T
1608,589,AN,9999-12-31,88090,T
1609,2966,AN,9999-12-31,90046,E
1610,2210,CO,2021-03-18,75536,T
1611,1938,AN,9999-12-31,5000,E
1612,954,CO,2021-03-29,98179,T
1613,1925,CO,2022-03-09,69510,E
1614,478,AN,9999-12-31,81900,T
1615,1546,AN,9999-12-31,63705,E
1616,2861,AN,9999-12-31,77057,T
1617,3447,CO,2020-10-15,89324,T
1618,3875,CO,2022-06-06,83372,E
1619,1321,AN,9999-12-31,25170,E
1620,307,CO,2022-02-17,13394,T
1621,3323,AN,9999-12-31,39573,T
1622,2432,CO,2020-12-08,14159,T
1623,3584,CO,2021-07-22,3981,E
1624,1653,AN,9999-12-31,2157,E
1625,3401,CO,2021-08-03,96941,T
1626,2029,AN,9999-12-31,80393,T
1627,3035,CO,2021-05-02,12552,E
1628,794,AN,9999-12-31,39248,E
1629,2821,AN,9999-12-31,76359,T
1630,2739,AN,9999-12-31,86105,E
1631,2636,CO,2022-06-09,78194,E
1632,3724,CO,2022-05-26,86519,E
1633,1581,CO,2021-12-02,25036,T
1634,3537,CO,2021-03-11,10234,T
1635,730,CO,2021-10-08,27082,T
1636,1199,CO,2022-01-22,3052,E
1637,2860,CO,2022-02-04,38457,T
1638,2705,CO,2021-03-11,24623,E
1639,1550,AN,9999-12-31,99849,T
1640,3730,AN,9999-12-31,98211,E
1641,1472,CO,2022-02-20,65446,T
1642,1444,CO,2022-02-20,89951,T
1643,2223,AN,9999-12-31,49501,T
1644,3506,AN,9999-12-31,53818,E
1645,2618,AN,9999-12-31,32532,E
1646,1804,CO,2021-06-30,37341,E
1647,556,AN,9999-12-31,45452,T
1648,73,AN,9999-12-31,54480,T
1649,3063,CO,2022-01-04,65059,T
1650,2636,AN,9999-12-31,29898,E
1651,3149,CO,2022-07-03,91619,T
1652,2451,AN,9999-12-31,54285,E
1653,1932,AN,9999-12-31,1007,T
1654,3957,CO,2021-12-08,14436,E
1655,1037,CO,2022-02-14,83257,E
1656,2229,AN,9999-12-31,7339,E
1657,1801,AN,9999-12-31,88705,T
1658,713,AN,9999-12-31,69963,E
1659,971,CO,2021-11-27,80803,E
1660,573,CO,2021-01-04,50832,T
1661,1194,CO,2021-07-23,98365,E
1662,765,CO,2021-02-17,68438,T
1663,3810,AN,9999-12-31,53696,T
1664,1632,CO,2022-05-03,23771,T
1665,705,AN,9999-12-31,21639,E
1666,3871,CO,2021-09-24,16902,T
1667,197,AN,9999-12-31,82568,E
1668,519,CO,2021-02-08,19552,E
1669,846,CO,2021-05-09,66670,T
1670,1896,AN,9999-12-31,76723,E
1671,1316,CO,2021-09-20,83377,E
1672,241,AN,9999-12-31,35127,T
1673,3831,CO,2022-05-19,53241,T
1674,23,AN,9999-12-31,86058,E
1675,2186,CO,2021-05-06,72208,T
1676,213,AN,9999-12-31,14323,E
1677,281,CO,2021-08-20,93777,T
1678,1110,AN,9999-12-31,74951,E
1679,3214,CO,2021-09-26,14419,E
1680,1872,AN,9999-12-31,69705,T
1681,3652,CO,2022-06-27,21740,T
1682,1794,AN,9999-12-31,90935,T
1683,35,CO,2021-07-03,56995,T
1684,404,CO,2022-06-23,90428,E
1685,331,AN,9999-12-31,68631,E
1686,413,AN,9999-12-31,14697,E
1687,1827,CO,2022-05-27,44162,T
1688,1425,AN,9999-12-31,4279,T
1689,2690,CO,2022-01-03,94623,E
1690,3688,CO,2021-08-12,69773,E
1691,508,CO,2022-06-02,79525,T
1692,1619,AN,9999-12-31,91786,E
1693,2070,CO,2020-12-14,11826,T
1694,2493,AN,9999-12-31,90339,E
1695,2412,CO,2022-02-20,94189,E
1696,2620,CO,2021-06-18,61412,T
1697,327,AN,9999-12-31,28809,T
1698,2914,AN,9999-12-31,50770,T
1699,421,AN,9999-12-31,31193,T
1700,487,AN,9999-12-31,22656,E
1701,2602,AN,9999-12-31,76594,E
1702,1153,CO,2021-09-08,33995,T
1703,2714,CO,2021-03-21,61402,T
1704,3401,AN,9999-12-31,68471,T
1705,3931,AN,9999-12-31,43054,E
1706,1317,CO,2021-09-25,604,T
1707,3746,AN,9999-12-31,92569,E
1708,571,CO,2021-05-22,78069,E
1709,3885,AN,9999-12-31,40910,T
1710,1313,CO,2020-12-17,23577,T
1711,1649,AN,9999-12-31,51454,T
1712,169,CO,2022-05-09,88512,E
1713,2407,CO,2021-08-19,60014,E
1714,996,CO,2022-05-24,97526,T
1715,2269,AN,9999-12-31,30155,E
1716,327,CO,2021-11-25,5512,E
1717,1551,CO,2021-11-14,77572,E
1718,199,AN,9999-12-31,89909,T
1719,1443,CO,2022-06-24,53882,T
1720,906,AN,9999-12-31,69679,T
1721,1305,AN,9999-12-31,39530,E
1722,2544,AN,9999-12-31,68518,T
1723,265,CO,2022-06-16,16762,T
1724,3715,AN,9999-12-31,24897,T
1725,1831,AN,9999-12-31,96427,T
1726,2843,CO,2022-05-05,30191,T
1727,1788,AN,9999-12-31,79031,E
1728,3248,AN,9999-12-31,25462,T
1729,2490,CO,2022-03-08,1398,E
1730,1521,CO,2021-07-30,9184,T
1731,2674,CO,2022-01-18,48928,T
1732,1594,AN,9999-12-31,72405,T
1733,948,AN,9999-12-31,34485,E
1734,561,AN,9999-12-31,51314,T
1735,2109,CO,2021-07-10,25063,E
1736,1411,AN,9999-12-31,11535,E
1737,1236,CO,2021-03-11,10364,T
1738,2650,AN,9999-12-31,30402,E
1739,3749,AN,9999-12-31,78915,T
1740,1985,AN,9999-12-31,52281,T
1741,2526,AN,9999-12-31,90591,T
1742,1849,AN,9999-12-31,40251,E
1743,1064,AN,9999-12-31,32383,T
1744,1286,CO,2022-01-14,75561,T
1745,2365,CO,2021-03-06,53051,E
1746,102,AN,9999-12-31,560,T
1747,2927,CO,2022-06-03,94780,E
1748,1998,AN,9999-12-31,85445,T
1749,1288,AN,9999-12-31,6618,T
1750,2104,CO,2022-05-26,19155,E
1751,1355,AN,9999-12-31,31526,E
1752,3623,AN,9999-12-31,36444,E
1753,3194,AN,9999-12-31,484,T
1754,3114,CO,2021-04-22,21237,T
1755,3615,AN,9999-12-31,2177,E
1756,1199,AN,9999-12-31,11594,E
1757,3898,AN,9999-12-31,82453,T
1758,3229,CO,2021-09-17,42820,T
1759,1095,CO,2022-07-04,73646,T
1760,2939,AN,9999-12-31,73555,E
1761,3002,CO,2021-01-25,3523,E
1762,3779,CO,2021-12-10,69894,E
1763,3633,AN,9999-12-31,22776,E
1764,747,AN,9999-12-31,37666,E
1765,3009,CO,2020-10-19,98648,T
1766,1770,AN,9999-12-31,69592,E
1767,244,AN,9999-12-31,62016,E
1768,2135,CO,2021-10-08,38465,E
1769,2352,CO,2021-12-01,40279,T
1770,2724,AN,9999-12-31,48796,T
1771,621,AN,9999-12-31,11103,E
1772,2638,CO,2020-12-25,8926,T
1773,3892,AN,9999-12-31,70725,T
1774,2853,AN,9999-12-31,52023,T
1775,2943,AN,9999-12-31,17002,E
1776,1829,CO,2021-08-10,15030,E
1777,2809,CO,2021-06-07,9739,T
1778,972,AN,9999-12-31,23345,T
1779,1360,AN,9999-12-31,47770,T
1780,3746,CO,2020-11-27,18749,T
1781,3069,CO,2022-07-01,7016,E
1782,683,AN,9999-12-31,32676,E
1783,187,CO,2022-01-11,3072,T
1784,2937,AN,9999-12-31,57573,T
1785,1665,AN,9999-12-31,74857,T
1786,1867,CO,2021-02-16,92517,E
1787,1542,AN,9999-12-31,85372,T
1788,3031,CO,2021-01-05,82893,E
1789,950,AN,9999-12-31,90196,E
1790,636,CO,2022-04-24,97402,E
1791,1084,AN,9999-12-31,94847,T
1792,316,CO,2021-05-26,9110,T
1793,1555,AN,9999-12-31,58212,E
1794,2060,CO,2020-12-26,52807,T
1795,3879,AN,9999-12-31,20275,E
1796,3291,AN,9999-12-31,83093,E
1797,3780,AN,9999-12-31,7530,T
1798,1260,AN,9999-12-31,9704,T
1799,3594,CO,2021-10-12,97290,T
1800,55,AN,9999-12-31,66503,E
1801,1470,CO,2021-06-07,64093,E
1802,3555,AN,9999-12-31,24778,E
1803,427,AN,9999-12-31,33778,E
1804,705,AN,9999-12-31,20184,E
1805,184,AN,9999-12-31,18898,T
1806,2991,AN,9999-12-31,42144,T
1807,290,AN,9999-12-31,87815,E
1808,3186,CO,2021-03-03,9427,T
1809,830,AN,9999-12-31,47458,T
1810,3476,AN,9999-12-31,68374,T
1811,3200,CO,2022-05-30,49840,E
1812,1557,AN,9999-12-31,81785,E
1813,928,CO,2021-09-09,29932,T
1814,538,CO,2022-04-20,25529,T
1815,977,CO,2020-12-09,15330,T
1816,3907,CO,2021-07-06,1885,T
1817,3442,AN,9999-12-31,35883,T
1818,892,AN,9999-12-31,25118,E
1819,3487,AN,9999-12-31,86111,T
1820,129,CO,2022-05-12,30336,T
1821,1253,AN,9999-12-31,61482,T
1822,596,CO,2021-05-07,69933,T
1823,329,AN,9999-12-31,46075,E
1824,2557,AN,9999-12-31,65731,T
1825,2860,CO,2021-05-02,62318,T
1826,2724,AN,9999-12-31,37905,E
1827,1208,CO,2021-11-16,48277,T
1828,3882,AN,9999-12-31,11556,E
1829,2491,CO,2021-02-16,89508,E
1830,3069,CO,2022-01-07,5151,E
1831,859,AN,9999-12-31,83553,T
1832,3954,CO,2021-02-15,88344,E
1833,605,CO,2022-02-03,37137,T
1834,2755,CO,2022-05-06,18962,T
1835,3026,AN,9999-12-31,4667,E
1836,2865,AN,9999-12-31,63436,T
1837,2431,AN,9999-12-31,34796,T
1838,418,AN,9999-12-31,43617,E
1839,978,AN,9999-12-31,506,E
1840,637,AN,9999-12-31,88712,E
1841,52,CO,2021-12-20,74940,E
1842,1118,CO,2022-04-03,24756,E
1843,3117,AN,9999-12-31,19171,T
1844,1332,CO,2021-05-09,55055,E
1845,3978,CO,2020-11-13,30433,E
1846,622,CO,2021-10-04,94532,T
1847,1056,AN,9999-12-31,75618,T
1848,128,AN,9999-12-31,54481,E
1849,2312,CO,2021-05-06,70776,T
1850,147,AN,9999-12-31,1403,E
1851,3711,AN,9999-12-31,87533,T
1852,809,CO,2021-07-06,182,T
1853,3877,CO,2022-05-01,52526,E
1854,1245,CO,2020-11-10,15119,E
1855,3518,CO,2022-05-24,16746,E
1856,330,CO,2021-01-30,579,E
1857,3208,CO,2021-01-02,86609,E
1858,2584,CO,2022-04-16,69022,T
1859,3703,AN,9999-12-31,84421,E
1860,3129,AN,9999-12-31,85549,T
1861,2495,AN,9999-12-31,22693,E
1862,1694,CO,2020-12-22,6367,E
1863,3652,AN,9999-12-31,8839,T
1864,1223,CO,2021-12-24,38339,T
1865,1127,AN,9999-12-31,86627,T
1866,137,CO,2021-03-12,33817,T
1867,3208,CO,2021-12-15,31851,T
1868,714,CO,2020-11-07,48019,E
1869,1650,AN,9999-12-31,19098,E
1870,1269,AN,9999-12-31,29753,T
1871,114,AN,9999-12-31,32740,T
1872,719,CO,2022-07-01,39091,T
1873,2184,AN,9999-12-31,27271,T
1874,1796,CO,2021-09-26,32913,E
1875,184,AN,9999-12-31,57855,E
1876,1736,CO,2021-10-08,3639,T
1877,3171,AN,9999-12-31,83265,T
1878,244,CO,2021-08-15,4717,T
1879,3813,AN,9999-12-31,73428,T
1880,610,CO,2021-05-11,93096,E
1881,1430,AN,9999-12-31,93263,T
1882,599,CO,2021-01-30,96392,T
1883,1827,CO,2022-05-04,69597,E
1884,3245,CO,2022-01-05,17779,T
1885,2818,CO,2021-10-28,68352,E
1886,3688,AN,9999-12-31,35135,T
1887,566,CO,2021-07-19,68779,T
1888,1146,CO,2021-03-20,57857,T
1889,3029,CO,2022-01-23,13101,T
1890,1375,CO,2022-06-22,73436,T
1891,3439,CO,2022-05-05,17356,T
1892,2278,CO,2021-10-14,52291,E
1893,3023,CO,2021-03-30,80290,E
1894,2456,CO,2021-05-31,84722,E
1895,3885,AN,9999-12-31,38669,T
1896,3327,CO,2021-09-23,31471,E
1897,1497,AN,9999-12-31,88531,E
1898,3274,CO,2022-06-10,97289,E
1899,5,CO,2021-08-03,22562,T
1900,3588,AN,9999-12-31,74280,E
1901,668,AN,9999-12-31,84758,E
1902,2914,AN,9999-12-31,35253,T
1903,1567,AN,9999-12-31,6289,E
1904,2117,CO,2021-01-19,35270,T
1905,2240,AN,9999-12-31,67519,T
1906,2469,AN,9999-12-31,66275,E
1907,2680,AN,9999-12-31,10411,E
1908,1865,CO,2021-08-17,41721,T
1909,1065,AN,9999-12-31,16995,E
1910,2690,CO,2021-12-05,65370,T
1911,2556,CO,2021-08-15,97266,T
1912,3029,AN,9999-12-31,18390,E
1913,997,CO,2021-01-23,60219,T
1914,88,CO,2021-12-27,14819,T
1915,3844,CO,2021-07-01,43405,E
1916,2445,CO,2021-03-22,3339,E
1917,253,AN,9999-12-31,70232,T
1918,3889,CO,2021-04-23,78937,T
1919,956,CO,2021-04-09,49154,T
1920,1827,CO,2021-08-17,58021,T
1921,3632,CO,2021-03-22,56644,T
1922,1025,AN,9999-12-31,28901,E
1923,468,CO,2021-03-18,55191,T
1924,3341,AN,9999-12-31,24431,E
1925,1374,CO,2022-03-06,90359,T
1926,1276,AN,9999-12-31,38569,E
1927,1405,CO,2021-06-25,40553,T
1928,735,CO,2021-03-10,41893,T
1929,3002,AN,9999-12-31,75542,E
1930,1172,AN,9999-12-31,20580,T
1931,1738,AN,9999-12-31,83949,T
1932,2294,CO,2021-10-24,84475,T
1933,1792,AN,9999-12-31,18829,T
1934,230,AN,9999-12-31,19174,T
1935,2521,CO,2022-04-12,48288,T
1936,2354,AN,9999-12-31,9620,E
1937,1323,AN,9999-12-31,43065,T
1938,2857,CO,2021-11-10,34960,E
1939,2532,AN,9999-12-31,29617,T
1940,2481,CO,2021-02-14,25330,T
1941,2173,CO,2022-04-14,56907,E
1942,855,CO,2021-06-04,26424,E
1943,312,AN,9999-12-31,58539,T
1944,827,AN,9999-12-31,11384,T
1945,214,CO,2021-03-23,60355,T
1946,2362,AN,9999-12-31,96655,T
1947,3190,AN,9999-12-31,44911,T
1948,972,CO,2022-03-19,97780,E
1949,1157,AN,9999-12-31,79564,E
1950,2438,CO,2022-04-12,40143,E
1951,1017,CO,2021-06-01,69996,E
1952,3579,CO,2021-06-11,64268,E
1953,3830,AN,9999-12-31,75724,E
1954,277,AN,9999-12-31,6550,E
1955,3481,CO,2020-10-26,43238,T
1956,629,AN,9999-12-31,96495,E
1957,3633,CO,2021-06-25,54877,E
1958,2783,AN,9999-12-31,79175,E
1959,3973,AN,9999-12-31,57828,T
1960,160,AN,9999-12-31,52054,T
1961,1063,CO,2020-10-18,86589,T
1962,3827,AN,9999-12-31,96952,T
1963,1893,AN,9999-12-31,80089,E
1964,3154,CO,2021-08-28,40350,E
1965,159,CO,2021-12-04,24647,T
1966,1054,CO,2022-06-04,24758,E
1967,2061,AN,9999-12-31,48625,T
1968,231,CO,2020-11-03,83137,E
1969,2297,CO,2020-11-17,8131,T
1970,3372,AN,9999-12-31,41256,E
1971,140,CO,2021-11-25,85769,E
1972,840,CO,2021-06-16,17733,E
1973,1162,AN,9999-12-31,6254,E
1974,2506,AN,9999-12-31,12882,T
1975,3297,CO,2021-11-05,92532,E
1976,3695,CO,2021-03-18,96150,E
1977,392,CO,2021-05-05,30409,T
1978,8,AN,9999-12-31,72036,T
1979,2781,AN,9999-12-31,49346,E
1980,2542,AN,9999-12-31,69945,T
1981,1088,AN,9999-12-31,60098,E
1982,2791,AN,9999-12-31,40324,T
1983,3760,AN,9999-12-31,98612,E
1984,3191,AN,9999-12-31,9722,T
1985,3515,AN,9999-12-31,66892,E
1986,2140,AN,9999-12-31,57464,E
1987,3279,CO,2021-06-20,74970,E
1988,3871,AN,9999-12-31,8999,T
1989,3198,AN,9999-12-31,57110,E
1990,3889,AN,9999-12-31,60830,T
1991,2371,CO,2022-05-14,84496,E
1992,56,CO,2022-02-01,32039,E
1993,3174,CO,2020-12-06,13268,T
1994,3122,AN,9999-12-31,78286,T
1995,170,CO,2020-12-01,48704,E
1996,2694,CO,2021-01-19,62662,T
1997,3071,CO,2021-02-19,85615,E
1998,2661,CO,2021-11-25,55488,E
1999,1212,CO,2021-02-28,90843,T
2000,656,AN,9999-12-31,72850,T
2001,2672,CO,2020-12-09,27276,E
2002,195,CO,2020-12-14,96539,E
2003,1582,AN,9999-12-31,48283,E
2004,3539,AN,9999-12-31,44834,E
2005,3734,CO,2020-11-03,84574,E
2006,154,CO,2021-04-22,96320,E
2007,3575,AN,9999-12-31,79028,E
2008,1845,CO,2021-04-25,9774,T
2009,1913,AN,9999-12-31,59280,E
2010,1322,AN,9999-12-31,10969,T
2011,3888,CO,2021-06-19,56878,T
2012,2252,AN,9999-12-31,64041,E
2013,470,CO,2021-02-18,73772,T
2014,1103,AN,9999-12-31,29033,T
2015,3736,AN,9999-12-31,28943,E
2016,1290,AN,9999-12-31,20761,E
2017,3690,AN,9999-12-31,26631,T
2018,3698,AN,9999-12-31,6142,T
2019,2507,AN,9999-12-31,22125,E
2020,2899,CO,2021-02-20,67749,E
2021,2136,CO,2022-02-10,7017,T
2022,3852,AN,9999-12-31,81429,T
2023,78,AN,9999-12-31,41229,T
2024,2832,CO,2022-07-05,2518,T
2025,2055,AN,9999-12-31,7501,E
2026,253,CO,2021-09-03,66473,E
2027,2052,CO,2021-05-19,42267,E
2028,1640,AN,9999-12-31,59902,E
2029,1834,CO,2021-10-13,21928,E
2030,2456,AN,9999-12-31,42453,E
2031,301,CO,2021-06-13,10604,E
2032,3269,CO,2021-03-27,17379,T
2033,2804,CO,2020-11-13,46292,E
2034,3964,AN,9999-12-31,87222,E
2035,3903,CO,2021-11-30,52157,E
2036,2418,AN,9999-12-31,94860,E
2037,1664,CO,2021-10-18,42489,E
2038,3223,CO,2021-09-10,43158,E
2039,3251,AN,9999-12-31,38680,E
2040,3126,CO,2020-12-23,74719,E
2041,3054,CO,2021-11-03,76682,E
2042,3806,AN,9999-12-31,31414,T
2043,1872,CO,2021-02-12,75081,E
2044,1409,CO,2021-09-15,17576,T
2045,3674,CO,2021-10-10,7312,E
2046,3445,CO,2020-11-18,20956,E
2047,3515,AN,9999-12-31,92953,E
2048,453,AN,9999-12-31,12796,T
2049,3753,CO,2020-12-24,28045,E
2050,3262,AN,9999-12-31,73167,T
2051,1558,CO,2021-11-26,84650,T
2052,379,AN,9999-12-31,94042,T
2053,3786,CO,2022-06-19,24869,E
2054,3507,CO,2021-08-12,1073,E
2055,381,CO,2022-06-14,10256,E
2056,2956,CO,2021-11-20,17878,T
2057,1012,CO,2021-06-22,21537,E
2058,2868,CO,2021-11-13,68113,T
2059,2375,CO,2021-12-01,84294,T
2060,2221,AN,9999-12-31,75567,T
2061,726,CO,2021-01-11,21982,T
2062,3256,CO,2022-05-30,35228,T
2063,2572,AN,9999-12-31,54689,T
2064,947,CO,2021-04-15,94162,T
2065,1910,CO,2022-02-07,50967,T
2066,3704,CO,2021-12-28,16967,T
2067,1059,AN,9999-12-31,96155,E
2068,1086,CO,2021-07-17,26090,T
2069,1543,AN,9999-12-31,99230,E
2070,2947,AN,9999-12-31,72669,E
2071,2851,AN,9999-12-31,62917,T
2072,1940,CO,2021-01-01,84245,T
2073,1142,CO,2021-03-16,18709,E
2074,3857,CO,2022-04-08,2120,E
2075,564,AN,9999-12-31,52848,E
2076,170,AN,9999-12-31,90924,T
2077,708,CO,2021-06-30,27647,T
2078,1335,CO,2021-08-08,86663,T
2079,2628,CO,2021-03-13,76529,E
2080,795,AN,9999-12-31,97856,T
2081,3283,CO,2020-12-24,63961,E
2082,1888,AN,9999-12-31,34603,T
2083,2012,AN,9999-12-31,85732,E
2084,199,CO,2021-08-02,4434,T
2085,1941,CO,2020-10-13,23652,T
2086,3833,AN,9999-12-31,65950,E
2087,3880,AN,9999-12-31,53443,E
2088,168,CO,2021-02-15,36992,E
2089,3177,AN,9999-12-31,20538,E
2090,300,CO,2021-09-08,32890,T
2091,362,AN,9999-12-31,49962,T
2092,1576,CO,2022-05-29,62134,E
2093,576,AN,9999-12-31,80730,T
2094,2045,CO,2021-11-05,12220,E
2095,1385,AN,9999-12-31,58615,T
2096,3640,AN,9999-12-31,13930,E
2097,3197,CO,2020-11-11,77188,E
2098,1542,AN,9999-12-31,1580,E
2099,1563,AN,9999-12-31,85402,T
2100,3350,CO,2021-10-27,39543,T
2101,3102,CO,2021-08-10,87237,E
2102,76,CO,2022-05-22,98114,T
2103,961,AN,9999-12-31,89987,T
2104,1603,CO,2021-06-11,16556,E
2105,2089,CO,2022-04-12,5341,E
2106,1440,AN,9999-12-31,14045,E
2107,1345,AN,9999-12-31,16207,E
2108,3563,CO,2022-06-17,56415,T
2109,691,AN,9999-12-31,65386,E
2110,1648,CO,2021-09-04,18652,E
2111,2659,CO,2022-03-02,16133,T
2112,2895,AN,9999-12-31,42655,T
2113,1765,CO,2021-05-15,16172,T
2114,1343,CO,2021-08-14,98546,T
2115,3259,AN,9999-12-31,84056,T
2116,442,CO,2022-02-28,44405,E
2117,3564,CO,2021-07-27,72228,E
2118,1745,AN,9999-12-31,96632,T
2119,2918,AN,9999-12-31,41768,T
2120,2921,AN,9999-12-31,8246,E
2121,55,CO,2020-11-24,12089,T
2122,3752,CO,2021-09-28,73959,E
2123,2973,CO,2021-11-23,77605,E
2124,575,AN,9999-12-31,32679,E
2125,3583,AN,9999-12-31,20925,T
2126,669,AN,9999-12-31,66093,E
2127,3332,AN,9999-12-31,71202,T
2128,2263,CO,2022-01-07,73272,E
2129,3390,CO,2022-02-02,84934,T
2130,1436,AN,9999-12-31,41649,T
2131,2910,AN,9999-12-31,60372,E
2132,1866,CO,2022-05-04,13435,T
2133,72,AN,9999-12-31,6906,T
2134,2052,CO,2021-12-06,18925,T
2135,3878,CO,2022-05-18,53214,E
2136,1208,CO,2022-03-14,55389,T
2137,264,AN,9999-12-31,81345,T
2138,3987,AN,9999-12-31,19763,E
2139,3068,AN,9999-12-31,51262,T
2140,3882,CO,2022-01-22,22281,T
2141,2034,AN,9999-12-31,61188,E
2142,518,AN,9999-12-31,13762,T
2143,3001,CO,2021-09-19,53846,T
2144,3307,AN,9999-12-31,31911,E
2145,1627,AN,9999-12-31,69236,E
2146,2938,AN,9999-12-31,26549,T
2147,3068,CO,2020-12-16,694,T
2148,1094,CO,2021-12-22,36624,E
2149,6,CO,2022-04-22,67570,T
2150,2096,AN,9999-12-31,4358,T
2151,3819,AN,9999-12-31,53110,E
2152,1495,AN,9999-12-31,80570,T
2153,830,CO,2022-01-26,98522,E
2154,1978,AN,9999-12-31,95248,E
2155,3338,CO,2021-05-13,52042,T
2156,293,CO,2021-12-16,72279,T
2157,3897,CO,2022-02-09,36525,T
2158,1822,AN,9999-12-31,88156,E
2159,1967,AN,9999-12-31,92121,E
2160,136,CO,2021-03-21,58247,T
2161,1859,AN,9999-12-31,61383,E
2162,3834,CO,2021-03-26,7503,T
2163,2580,CO,2021-04-17,7114,E
2164,2086,CO,2021-10-16,20002,E
2165,338,CO,2022-03-13,46305,T
2166,2784,AN,9999-12-31,84127,E
2167,2166,CO,2022-04-28,72973,E
2168,2993,AN,9999-12-31,21392,E
2169,1775,CO,2022-03-02,41784,T
2170,1105,CO,2021-03-31,59222,T
2171,3658,AN,9999-12-31,54555,T
2172,326,CO,2021-06-29,67232,E
2173,1965,CO,2021-04-29,11258,T
2174,1545,AN,9999-12-31,19697,T
2175,1737,CO,2022-06-30,90105,T
2176,323,CO,2020-12-27,2505,T
2177,2602,CO,2022-05-31,90633,E
2178,219,CO,2021-04-05,91259,T
2179,1841,CO,2021-01-29,54953,T
2180,343,AN,9999-12-31,82951,T
2181,1802,CO,2021-01-15,49239,E
2182,1693,CO,2020-11-06,27804,T
2183,2983,CO,2022-03-23,46948,T
2184,2648,CO,2021-11-09,24698,T
2185,1381,AN,9999-12-31,70880,T
2186,3383,CO,2020-11-19,50682,T
2187,2318,AN,9999-12-31,6188,T
2188,2327,AN,9999-12-31,77939,T
2189,3137,AN,9999-12-31,38749,T
2190,2789,CO,2021-05-14,37933,T
2191,1737,AN,9999-12-31,24125,T
2192,1753,CO,2021-12-31,66164,T
2193,3907,CO,2021-07-29,61285,T
2194,1093,CO,2022-05-08,23062,E
2195,3416,CO,2020-11-07,51648,E
2196,1210,AN,9999-12-31,38351,T
2197,2846,AN,9999-12-31,97315,T
2198,2371,CO,2020-11-01,66480,E
2199,3341,AN,9999-12-31,26599,T
2200,1165,CO,2021-05-08,46256,T
2201,3216,CO,2021-10-19,97997,E
2202,2047,AN,9999-12-31,22538,E
2203,2618,AN,9999-12-31,7573,T
2204,1401,CO,2021-04-17,48686,T
2205,810,CO,2022-01-04,30711,E
2206,1848,CO,2021-05-17,464,T
2207,2805,AN,9999-12-31,30620,E
2208,3029,AN,9999-12-31,93634,T
2209,3973,AN,9999-12-31,8084,E
2210,3807,CO,2021-02-03,84643,T
2211,1920,CO,2022-05-10,65828,T
2212,1108,CO,2020-10-15,93032,E
2213,2362,CO,2021-11-28,11642,E
2214,1191,AN,9999-12-31,34013,E
2215,1084,AN,9999-12-31,23156,E
2216,437,AN,9999-12-31,7416,E
2217,187,AN,9999-12-31,27422,T
2218,2159,CO,2020-10-15,8853,T
2219,2069,AN,9999-12-31,50399,E
2220,2512,CO,2021-04-02,31693,T
2221,3515,AN,9999-12-31,19756,T
2222,107,CO,2021-11-20,43822,E
2223,2563,CO,2022-06-20,79942,E
2224,235,AN,9999-12-31,81026,T
2225,2480,CO,2020-10-13,76957,E
2226,969,CO,2020-11-10,86322,E
2227,3436,CO,2020-11-09,6869,T
2228,2070,CO,2021-11-19,25010,E
2229,1515,CO,2022-03-19,32064,E
2230,2505,CO,2021-01-09,57046,T
2231,2710,AN,9999-12-31,60272,T
2232,422,AN,9999-12-31,8125,E
2233,1033,CO,2022-02-04,18399,E
2234,2510,CO,2020-10-28,98148,E
2235,895,CO,2022-02-27,21116,T
