numpoliza,pol_estado,fecha_efecto,fecha_sol,fecha_vencimiento,forma_pago,fecha_baja,causa_baja,fecha_suspension,causa_suspen
297,PS,2021-12-25,2021-12-24,2024-01-02,T,9999-12-31, ,2022-04-24,FP
298,PV,2021-07-10,2021-07-09,2027-03-17,T,9999-12-31, ,9999-12-31, 
299,PV,2021-04-27,2021-04-26,2023-05-11,S,9999-12-31, ,9999-12-31, 
300,PA,2021-07-31,2021-07-30,2029-04-01,S,2022-02-05,CL,9999-12-31, 
301,PV,2022-04-28,2022-04-27,2024-01-22,S,9999-12-31, ,9999-12-31, 
302,PV,2021-12-09,2021-12-08,2028-09-03,A,9999-12-31, ,9999-12-31, 
303,PA,2021-07-20,2021-07-19,2028-02-08,S,2021-09-08,TR,9999-12-31, 
304,PA,2021-05-02,2021-05-01,2024-11-24,A,2021-11-10,FP,9999-12-31, 
305,PS,2021-06-09,2021-06-08,2027-06-10,M,9999-12-31, ,2022-06-23,CL
306,PA,2022-04-03,2022-04-02,2022-09-10,T,2022-04-12,FP,9999-12-31, 
307,PA,2021-08-22,2021-08-21,2024-07-01,A,2022-06-29,TR,9999-12-31, 
308,PV,2022-01-29,2022-01-28,2024-07-19,S,9999-12-31, ,9999-12-31, 
309,PA,2021-10-16,2021-10-15,2022-07-27,S,2022-02-03,TR,9999-12-31, 
310,PS,2021-08-20,2021-08-19,2029-12-31,A,9999-12-31, ,2021-12-23,CL
311,PA,2021-02-06,2021-02-05,2026-04-03,M,2021-08-07,FA,9999-12-31, 
312,PA,2022-03-14,2022-03-13,2029-11-19,U,2022-06-14,TR,9999-12-31, 
313,PS,2022-07-01,2022-06-30,2028-10-13,T,9999-12-31, ,2022-07-02,CL
314,PA,2021-05-14,2021-05-13,2025-03-23,T,2021-10-13,TR,9999-12-31, 
315,PV,2021-08-24,2021-08-23,2024-05-04,S,9999-12-31, ,9999-12-31, 
316,PA,2021-06-23,2021-06-22,2030-05-06,S,2022-02-14,TR,9999-12-31, 
317,PV,2022-02-25,2022-02-24,2028-10-04,U,9999-12-31, ,9999-12-31, 
318,PA,2021-12-16,2021-12-15,2022-04-22,T,2022-03-17,TR,9999-12-31, 
319,PV,2021-05-16,2021-05-15,2024-06-24,A,9999-12-31, ,9999-12-31, 
320,PA,2021-07-17,2021-07-16,2026-06-21,T,2021-10-18,TR,9999-12-31, 
321,PS,2021-12-01,2021-11-30,2023-09-13,U,9999-12-31, ,2021-12-23,FP
322,PV,2021-07-05,2021-07-04,2027-01-23,A,9999-12-31, ,9999-12-31, 
323,PA,2021-02-11,2021-02-10,2029-11-06,A,2022-05-05,CL,9999-12-31, 
324,PA,2022-01-22,2022-01-21,2022-07-05,U,2022-01-30,FA,9999-12-31, 
325,PS,2020-11-07,2020-11-06,2023-02-25,A,9999-12-31, ,2022-07-02,FP
326,PA,2021-05-14,2021-05-13,2022-12-16,T,2021-09-11,FA,9999-12-31, 
327,PS,2021-05-31,2021-05-30,2029-12-04,A,9999-12-31, ,2022-06-15,CL
328,PV,2021-10-29,2021-10-28,2026-08-15,S,9999-12-31, ,9999-12-31, 
329,PA,2022-04-27,2022-04-26,2028-01-20,M,2022-06-19,CL,9999-12-31, 
330,PA,2021-02-24,2021-02-23,2030-04-18,T,2021-11-11,TR,9999-12-31, 
331,PV,2022-02-28,2022-02-27,2029-12-23,S,9999-12-31, ,9999-12-31, 
332,PV,2022-04-13,2022-04-12,2025-11-30,T,9999-12-31, ,9999-12-31, 
333,PS,2021-09-12,2021-09-11,2029-03-02,T,9999-12-31, ,2021-12-27,FP
334,PA,2022-05-11,2022-05-10,2024-05-19,U,2022-06-11,FP,9999-12-31, 
335,PA,2021-06-25,2021-06-24,2024-03-29,M,2021-09-19,CL,9999-12-31, 
336,PS,2021-12-07,2021-12-06,2025-05-31,M,9999-12-31, ,2022-06-17,CL
337,PV,2021-03-06,2021-03-05,2026-09-27,S,9999-12-31, ,9999-12-31, 
338,PS,2021-10-25,2021-10-24,2028-09-25,T,9999-12-31, ,2022-06-24,FP
339,PV,2021-09-01,2021-08-31,2025-10-09,A,9999-12-31, ,9999-12-31, 
340,PS,2020-12-25,2020-12-24,2028-06-07,T,9999-12-31, ,2021-03-17,FP
341,PS,2022-02-28,2022-02-27,2029-12-10,A,9999-12-31, ,2022-04-22,FP
342,PV,2021-07-02,2021-07-01,2024-04-27,A,9999-12-31, ,9999-12-31, 
343,PV,2020-10-31,2020-10-30,2021-05-27,U,9999-12-31, ,9999-12-31, 
344,PS,2022-02-10,2022-02-09,2024-04-19,M,9999-12-31, ,2022-07-02,CL
345,PA,2021-12-06,2021-12-05,2030-05-21,A,2022-01-27,CL,9999-12-31, 
346,PS,2021-05-23,2021-05-22,2026-08-27,S,9999-12-31, ,2021-12-27,CL
347,PS,2021-08-16,2021-08-15,2022-09-27,S,9999-12-31, ,2022-05-21,CL
348,PA,2021-10-30,2021-10-29,2026-04-13,M,2022-01-15,FA,9999-12-31, 
349,PS,2021-06-27,2021-06-26,2026-12-07,U,9999-12-31, ,2022-06-01,FP
350,PA,2021-08-30,2021-08-29,2024-02-03,T,2021-09-13,FP,9999-12-31, 
351,PV,2022-06-06,2022-06-05,2028-01-03,U,9999-12-31, ,9999-12-31, 
352,PA,2022-06-11,2022-06-10,2029-10-07,S,2022-06-20,TR,9999-12-31, 
353,PV,2021-06-16,2021-06-15,2023-05-13,U,9999-12-31, ,9999-12-31, 
354,PS,2021-03-05,2021-03-04,2029-05-30,A,9999-12-31, ,2021-05-01,FP
355,PA,2021-11-02,2021-11-01,2028-11-10,U,2022-04-28,FA,9999-12-31, 
356,PV,2022-01-30,2022-01-29,2023-07-18,M,9999-12-31, ,9999-12-31, 
357,PA,2021-12-03,2021-12-02,2028-08-16,M,2021-12-06,CL,9999-12-31, 
358,PV,2022-01-12,2022-01-11,2030-01-09,S,9999-12-31, ,9999-12-31, 
359,PV,2022-05-03,2022-05-02,2029-06-25,T,9999-12-31, ,9999-12-31, 
360,PV,2021-04-02,2021-04-01,2023-01-27,T,9999-12-31, ,9999-12-31, 
361,PV,2021-05-14,2021-05-13,2022-11-28,U,9999-12-31, ,9999-12-31, 
362,PS,2021-05-24,2021-05-23,2029-06-17,A,9999-12-31, ,2021-05-30,CL
363,PA,2021-05-29,2021-05-28,2023-04-13,A,2022-05-11,TR,9999-12-31, 
364,PS,2020-11-25,2020-11-24,2026-02-13,S,9999-12-31, ,2021-02-08,CL
365,PA,2022-05-13,2022-05-12,2029-04-01,T,2022-05-19,CL,9999-12-31, 
366,PA,2021-08-15,2021-08-14,2030-06-18,M,2022-05-17,FP,9999-12-31, 
367,PS,2021-02-25,2021-02-24,2021-03-19,S,9999-12-31, ,2021-12-18,FP
368,PV,2021-08-11,2021-08-10,2025-06-25,T,9999-12-31, ,9999-12-31, 
369,PV,2021-11-20,2021-11-19,2028-08-13,U,9999-12-31, ,9999-12-31, 
370,PS,2022-01-28,2022-01-27,2029-11-26,U,9999-12-31, ,2022-05-03,FP
371,PA,2021-02-17,2021-02-16,2022-10-25,A,2021-05-15,FA,9999-12-31, 
372,PV,2022-01-07,2022-01-06,2026-11-19,U,9999-12-31, ,9999-12-31, 
373,PS,2021-11-18,2021-11-17,2030-05-09,T,9999-12-31, ,2022-03-14,CL
374,PV,2021-09-07,2021-09-06,2025-02-24,A,9999-12-31, ,9999-12-31, 
375,PS,2021-12-28,2021-12-27,2023-11-04,A,9999-12-31, ,2022-06-01,FP
376,PS,2022-05-25,2022-05-24,2025-05-28,A,9999-12-31, ,2022-05-27,FP
377,PV,2022-03-06,2022-03-05,2026-06-03,M,9999-12-31, ,9999-12-31, 
378,PV,2021-07-24,2021-07-23,2022-08-27,M,9999-12-31, ,9999-12-31, 
379,PV,2021-02-18,2021-02-17,2024-11-03,T,9999-12-31, ,9999-12-31, 
380,PS,2022-03-23,2022-03-22,2027-07-09,U,9999-12-31, ,2022-05-09,CL
381,PA,2022-06-20,2022-06-19,2026-07-22,M,2022-07-05,CL,9999-12-31, 
382,PA,2022-03-03,2022-03-02,2029-02-08,M,2022-03-18,TR,9999-12-31, 
383,PA,2022-05-24,2022-05-23,2026-01-13,A,2022-05-24,FP,9999-12-31, 
384,PS,2021-03-17,2021-03-16,2021-06-09,T,9999-12-31, ,2021-08-12,CL
385,PV,2022-04-06,2022-04-05,2027-04-14,S,9999-12-31, ,9999-12-31, 
386,PA,2022-01-23,2022-01-22,2022-02-19,S,2022-05-11,TR,9999-12-31, 
387,PS,2021-05-13,2021-05-12,2028-03-21,S,9999-12-31, ,2022-02-27,CL
388,PV,2022-05-24,2022-05-23,2026-10-08,A,9999-12-31, ,9999-12-31, 
389,PS,2021-01-19,2021-01-18,2027-02-13,S,9999-12-31, ,2021-02-23,FP
390,PA,2020-12-12,2020-12-11,2027-01-26,U,2021-10-05,TR,9999-12-31, 
391,PA,2020-10-26,2020-10-25,2022-05-27,M,2021-06-20,FA,9999-12-31, 
392,PA,2022-04-29,2022-04-28,2024-06-09,T,2022-06-06,CL,9999-12-31, 
393,PA,2021-06-22,2021-06-21,2030-04-08,T,2021-09-13,FP,9999-12-31, 
394,PS,2021-09-03,2021-09-02,2023-04-26,M,9999-12-31, ,2022-01-23,FP
395,PS,2020-12-17,2020-12-16,2029-06-02,S,9999-12-31, ,2022-07-01,CL
396,PS,2022-06-11,2022-06-10,2023-04-02,A,9999-12-31, ,2022-06-28,CL
397,PS,2020-11-13,2020-11-12,2028-10-03,U,9999-12-31, ,2021-05-25,FP
398,PV,2022-01-23,2022-01-22,2029-11-25,M,9999-12-31, ,9999-12-31, 
399,PA,2021-10-29,2021-10-28,2022-05-22,T,2021-11-19,FA,9999-12-31, 
400,PS,2021-07-21,2021-07-20,2027-04-24,S,9999-12-31, ,2021-07-21,CL
401,PA,2021-04-20,2021-04-19,2029-07-14,S,2022-05-13,TR,9999-12-31, 
402,PV,2022-03-22,2022-03-21,2026-05-26,T,9999-12-31, ,9999-12-31, 
403,PA,2020-11-24,2020-11-23,2021-03-01,T,2021-01-01,FP,9999-12-31, 
404,PS,2020-10-12,2020-10-11,2026-05-05,U,9999-12-31, ,2020-10-15,CL
405,PV,2021-01-13,2021-01-12,2023-11-27,U,9999-12-31, ,9999-12-31, 
406,PA,2021-05-07,2021-05-06,2026-09-26,A,2022-06-27,CL,9999-12-31, 
407,PS,2022-05-02,2022-05-01,2028-09-26,M,9999-12-31, ,2022-06-27,CL
408,PV,2020-11-10,2020-11-09,2027-07-31,T,9999-12-31, ,9999-12-31, 
409,PV,2022-04-04,2022-04-03,2023-04-05,S,9999-12-31, ,9999-12-31, 
410,PS,2021-12-27,2021-12-26,2029-10-16,U,9999-12-31, ,2022-05-12,CL
411,PV,2021-09-21,2021-09-20,2026-04-16,M,9999-12-31, ,9999-12-31, 
412,PV,2021-01-10,2021-01-09,2027-01-26,S,9999-12-31, ,9999-12-31, 
413,PA,2021-09-26,2021-09-25,2026-05-15,A,2022-05-10,FA,9999-12-31, 
414,PS,2021-08-13,2021-08-12,2026-05-02,T,9999-12-31, ,2021-11-07,CL
415,PA,2021-09-03,2021-09-02,2029-04-17,U,2022-02-02,CL,9999-12-31, 
416,PA,2021-11-04,2021-11-03,2026-06-22,U,2022-04-18,TR,9999-12-31, 
417,PS,2021-12-20,2021-12-19,2026-05-23,U,9999-12-31, ,2022-05-10,FP
418,PV,2021-09-25,2021-09-24,2029-10-29,A,9999-12-31, ,9999-12-31, 
419,PA,2021-12-09,2021-12-08,2026-09-24,A,2022-02-17,CL,9999-12-31, 
420,PA,2020-12-15,2020-12-14,2029-09-30,S,2021-08-07,CL,9999-12-31, 
421,PS,2022-06-06,2022-06-05,2027-03-04,M,9999-12-31, ,2022-06-24,FP
422,PV,2021-02-12,2021-02-11,2022-03-11,T,9999-12-31, ,9999-12-31, 
423,PS,2021-12-30,2021-12-29,2026-06-23,M,9999-12-31, ,2022-01-25,FP
424,PV,2021-06-03,2021-06-02,2023-01-24,A,9999-12-31, ,9999-12-31, 
425,PA,2021-07-30,2021-07-29,2025-06-25,A,2021-11-29,CL,9999-12-31, 
426,PS,2022-04-25,2022-04-24,2028-11-04,U,9999-12-31, ,2022-05-04,CL
427,PA,2022-02-10,2022-02-09,2025-04-13,M,2022-06-02,TR,9999-12-31, 
428,PA,2022-03-15,2022-03-14,2025-12-27,U,2022-05-11,CL,9999-12-31, 
429,PV,2020-10-19,2020-10-18,2023-10-19,M,9999-12-31, ,9999-12-31, 
430,PV,2021-09-04,2021-09-03,2026-09-19,A,9999-12-31, ,9999-12-31, 
431,PV,2021-07-16,2021-07-15,2028-11-30,S,9999-12-31, ,9999-12-31, 
432,PV,2020-10-19,2020-10-18,2022-05-17,U,9999-12-31, ,9999-12-31, 
433,PV,2021-04-23,2021-04-22,2024-04-12,A,9999-12-31, ,9999-12-31, 
434,PA,2020-11-25,2020-11-24,2022-12-13,S,2021-07-15,FA,9999-12-31, 
435,PV,2022-03-16,2022-03-15,2025-08-18,T,9999-12-31, ,9999-12-31, 
436,PV,2020-10-30,2020-10-29,2027-11-16,M,9999-12-31, ,9999-12-31, 
437,PS,2020-12-05,2020-12-04,2028-07-06,S,9999-12-31, ,2021-12-14,FP
438,PS,2022-01-02,2022-01-01,2023-05-09,T,9999-12-31, ,2022-04-04,CL
439,PA,2022-01-18,2022-01-17,2028-04-14,T,2022-04-28,CL,9999-12-31, 
440,PA,2021-11-22,2021-11-21,2030-04-25,U,2022-05-07,TR,9999-12-31, 
441,PV,2021-06-18,2021-06-17,2028-12-15,A,9999-12-31, ,9999-12-31, 
442,PA,2021-08-16,2021-08-15,2024-08-09,T,2021-10-22,FP,9999-12-31, 
443,PS,2022-04-29,2022-04-28,2029-07-29,M,9999-12-31, ,2022-05-08,CL
444,PV,2022-01-18,2022-01-17,2029-07-14,T,9999-12-31, ,9999-12-31, 
445,PV,2022-03-02,2022-03-01,2025-09-15,M,9999-12-31, ,9999-12-31, 
446,PV,2021-04-13,2021-04-12,2021-08-02,T,9999-12-31, ,9999-12-31, 
447,PS,2021-04-11,2021-04-10,2028-11-27,S,9999-12-31, ,2021-05-31,FP
448,PV,2022-03-18,2022-03-17,2030-03-26,A,9999-12-31, ,9999-12-31, 
449,PV,2021-02-03,2021-02-02,2028-10-05,S,9999-12-31, ,9999-12-31, 
450,PV,2021-07-10,2021-07-09,2023-02-22,S,9999-12-31, ,9999-12-31, 
451,PV,2022-03-26,2022-03-25,2023-08-10,T,9999-12-31, ,9999-12-31, 
452,PA,2020-12-14,2020-12-13,2026-07-05,T,2021-10-12,CL,9999-12-31, 
453,PA,2022-01-10,2022-01-09,2028-08-29,U,2022-04-12,TR,9999-12-31, 
454,PA,2021-07-23,2021-07-22,2021-12-20,T,2021-08-04,FP,9999-12-31, 
455,PV,2021-12-20,2021-12-19,2030-02-13,U,9999-12-31, ,9999-12-31, 
456,PV,2021-06-21,2021-06-20,2029-03-18,T,9999-12-31, ,9999-12-31, 
457,PV,2021-01-21,2021-01-20,2027-04-19,M,9999-12-31, ,9999-12-31, 
458,PA,2022-04-30,2022-04-29,2029-08-02,T,2022-06-12,CL,9999-12-31, 
459,PV,2022-02-19,2022-02-18,2030-01-24,A,9999-12-31, ,9999-12-31, 
460,PV,2021-08-20,2021-08-19,2022-12-28,S,9999-12-31, ,9999-12-31, 
461,PV,2021-07-22,2021-07-21,2028-02-25,U,9999-12-31, ,9999-12-31, 
462,PV,2021-12-18,2021-12-17,2024-06-27,M,9999-12-31, ,9999-12-31, 
463,PS,2022-03-10,2022-03-09,2024-05-03,T,9999-12-31, ,2022-04-14,CL
464,PA,2021-09-26,2021-09-25,2024-06-06,U,2022-05-17,CL,9999-12-31, 
465,PV,2021-07-12,2021-07-11,2023-06-16,T,9999-12-31, ,9999-12-31, 
466,PV,2020-11-05,2020-11-04,2025-04-26,T,9999-12-31, ,9999-12-31, 
467,PV,2021-11-10,2021-11-09,2030-05-08,M,9999-12-31, ,9999-12-31, 
468,PV,2022-04-09,2022-04-08,2025-09-05,U,9999-12-31, ,9999-12-31, 
469,PS,2020-12-04,2020-12-03,2026-08-10,S,9999-12-31, ,2022-01-07,CL
470,PV,2022-05-04,2022-05-03,2023-11-25,M,9999-12-31, ,9999-12-31, 
471,PS,2021-03-24,2021-03-23,2024-04-29,A,9999-12-31, ,2022-04-11,CL
472,PV,2021-08-23,2021-08-22,2026-08-12,M,9999-12-31, ,9999-12-31, 
473,PA,2021-08-11,2021-08-10,2028-07-26,S,2021-11-19,CL,9999-12-31, 
474,PV,2021-08-30,2021-08-29,2025-08-28,S,9999-12-31, ,9999-12-31, 
475,PS,2021-11-11,2021-11-10,2022-03-07,T,9999-12-31, ,2021-11-21,FP
476,PV,2021-07-12,2021-07-11,2026-07-22,T,9999-12-31, ,9999-12-31, 
477,PA,2021-11-29,2021-11-28,2027-10-02,A,2022-06-30,FA,9999-12-31, 
478,PA,2022-04-05,2022-04-04,2022-12-07,S,2022-04-28,FA,9999-12-31, 
479,PA,2020-11-03,2020-11-02,2030-02-24,M,2022-04-28,FA,9999-12-31, 
480,PS,2022-02-18,2022-02-17,2027-07-09,A,9999-12-31, ,2022-02-22,FP
481,PV,2020-10-13,2020-10-12,2029-10-14,T,9999-12-31, ,9999-12-31, 
482,PV,2021-08-18,2021-08-17,2027-01-05,T,9999-12-31, ,9999-12-31, 
483,PV,2022-05-03,2022-05-02,2026-01-28,S,9999-12-31, ,9999-12-31, 
484,PS,2021-12-11,2021-12-10,2030-04-19,M,9999-12-31, ,2021-12-20,CL
485,PV,2021-04-08,2021-04-07,2023-06-12,U,9999-12-31, ,9999-12-31, 
486,PS,2021-10-30,2021-10-29,2026-08-07,A,9999-12-31, ,2022-02-22,FP
487,PV,2021-04-07,2021-04-06,2027-07-30,U,9999-12-31, ,9999-12-31, 
488,PS,2021-11-12,2021-11-11,2026-03-29,A,9999-12-31, ,2022-05-08,FP
489,PA,2022-06-14,2022-06-13,2028-07-11,A,2022-06-18,CL,9999-12-31, 
490,PA,2021-11-16,2021-11-15,2029-07-23,A,2022-04-17,CL,9999-12-31, 
491,PA,2022-04-06,2022-04-05,2028-11-09,M,2022-05-20,TR,9999-12-31, 
492,PS,2021-04-10,2021-04-09,2022-05-29,T,9999-12-31, ,2022-02-12,FP
493,PS,2021-04-20,2021-04-19,2023-12-06,M,9999-12-31, ,2021-11-01,FP
494,PS,2021-08-27,2021-08-26,2028-08-09,A,9999-12-31, ,2022-02-19,FP
495,PV,2021-05-16,2021-05-15,2021-07-25,T,9999-12-31, ,9999-12-31, 
496,PS,2022-06-14,2022-06-13,2023-01-22,T,9999-12-31, ,2022-06-30,FP
497,PA,2021-09-22,2021-09-21,2030-02-23,S,2021-10-17,TR,9999-12-31, 
498,PV,2020-12-29,2020-12-28,2030-06-19,A,9999-12-31, ,9999-12-31, 
499,PA,2022-03-23,2022-03-22,2028-08-01,A,2022-06-13,FA,9999-12-31, 
500,PA,2022-04-21,2022-04-20,2025-09-29,T,2022-05-24,FA,9999-12-31, 
501,PS,2022-03-30,2022-03-29,2024-07-09,U,9999-12-31, ,2022-04-07,CL
502,PV,2021-03-24,2021-03-23,2025-09-15,S,9999-12-31, ,9999-12-31, 
503,PA,2022-06-30,2022-06-29,2025-07-22,S,2022-06-30,FA,9999-12-31, 
504,PV,2021-05-31,2021-05-30,2026-05-18,S,9999-12-31, ,9999-12-31, 
505,PS,2020-11-06,2020-11-05,2021-02-08,S,9999-12-31, ,2022-05-24,CL
506,PV,2020-10-11,2020-10-10,2023-07-08,A,9999-12-31, ,9999-12-31, 
507,PA,2021-08-20,2021-08-19,2025-02-27,M,2022-01-30,FA,9999-12-31, 
508,PV,2022-02-14,2022-02-13,2027-05-17,A,9999-12-31, ,9999-12-31, 
509,PS,2022-03-29,2022-03-28,2028-05-15,S,9999-12-31, ,2022-05-01,FP
510,PV,2020-10-25,2020-10-24,2021-10-10,S,9999-12-31, ,9999-12-31, 
511,PV,2021-04-20,2021-04-19,2030-04-18,M,9999-12-31, ,9999-12-31, 
512,PS,2022-04-11,2022-04-10,2030-05-12,A,9999-12-31, ,2022-06-29,FP
513,PV,2021-01-19,2021-01-18,2021-03-25,A,9999-12-31, ,9999-12-31, 
514,PA,2021-11-23,2021-11-22,2029-12-21,A,2021-12-16,FP,9999-12-31, 
515,PV,2022-01-19,2022-01-18,2026-07-29,T,9999-12-31, ,9999-12-31, 
516,PS,2022-03-23,2022-03-22,2026-05-26,U,9999-12-31, ,2022-04-24,FP
517,PA,2022-03-17,2022-03-16,2027-01-08,T,2022-06-02,FA,9999-12-31, 
518,PA,2021-07-02,2021-07-01,2029-04-09,U,2022-02-14,TR,9999-12-31, 
519,PS,2021-03-23,2021-03-22,2021-07-20,S,9999-12-31, ,2021-12-27,FP
520,PA,2020-12-28,2020-12-27,2025-05-15,U,2021-07-11,TR,9999-12-31, 
521,PV,2022-06-17,2022-06-16,2029-04-17,T,9999-12-31, ,9999-12-31, 
522,PS,2021-12-29,2021-12-28,2028-08-21,A,9999-12-31, ,2022-04-30,CL
523,PA,2021-06-23,2021-06-22,2026-02-18,U,2022-01-26,FP,9999-12-31, 
524,PA,2021-06-26,2021-06-25,2025-06-10,S,2022-01-04,FA,9999-12-31, 
525,PV,2021-08-23,2021-08-22,2027-11-19,S,9999-12-31, ,9999-12-31, 
526,PV,2021-01-16,2021-01-15,2026-06-06,T,9999-12-31, ,9999-12-31, 
527,PA,2021-11-24,2021-11-23,2024-08-13,U,2021-12-19,CL,9999-12-31, 
528,PA,2021-03-03,2021-03-02,2024-10-17,U,2021-08-19,FP,9999-12-31, 
529,PS,2020-12-31,2020-12-30,2026-03-30,A,9999-12-31, ,2022-04-28,CL
530,PS,2021-07-21,2021-07-20,2028-04-07,M,9999-12-31, ,2022-03-20,FP
531,PA,2020-12-13,2020-12-12,2025-02-03,T,2021-07-16,FP,9999-12-31, 
532,PS,2021-01-28,2021-01-27,2023-04-18,M,9999-12-31, ,2021-02-04,CL
533,PV,2021-11-07,2021-11-06,2027-08-09,M,9999-12-31, ,9999-12-31, 
534,PV,2021-10-11,2021-10-10,2030-04-27,T,9999-12-31, ,9999-12-31, 
535,PA,2021-01-11,2021-01-10,2030-06-17,S,2021-11-08,CL,9999-12-31, 
536,PV,2022-05-14,2022-05-13,2029-04-07,S,9999-12-31, ,9999-12-31, 
537,PV,2021-09-02,2021-09-01,2029-04-03,S,9999-12-31, ,9999-12-31, 
538,PA,2021-11-01,2021-10-31,2027-12-31,A,2022-03-25,FP,9999-12-31, 
539,PA,2021-07-06,2021-07-05,2022-05-22,U,2022-05-02,TR,9999-12-31, 
540,PV,2022-04-28,2022-04-27,2023-02-14,S,9999-12-31, ,9999-12-31, 
541,PV,2021-11-23,2021-11-22,2027-03-31,M,9999-12-31, ,9999-12-31, 
542,PV,2021-07-31,2021-07-30,2022-05-09,U,9999-12-31, ,9999-12-31, 
543,PS,2021-03-15,2021-03-14,2029-05-08,U,9999-12-31, ,2022-02-14,CL
544,PA,2020-11-24,2020-11-23,2023-01-27,T,2022-01-21,FP,9999-12-31, 
545,PV,2022-01-11,2022-01-10,2030-05-29,T,9999-12-31, ,9999-12-31, 
546,PV,2020-10-31,2020-10-30,2030-06-18,T,9999-12-31, ,9999-12-31, 
547,PS,2021-11-02,2021-11-01,2023-09-10,A,9999-12-31, ,2022-05-10,CL
548,PV,2021-06-02,2021-06-01,2025-07-05,S,9999-12-31, ,9999-12-31, 
549,PS,2021-11-22,2021-11-21,2024-08-25,U,9999-12-31, ,2022-01-28,FP
550,PA,2021-06-22,2021-06-21,2025-08-13,T,2022-03-08,TR,9999-12-31, 
551,PS,2022-01-26,2022-01-25,2027-08-29,S,9999-12-31, ,2022-02-19,FP
552,PS,2021-05-14,2021-05-13,2029-09-10,A,9999-12-31, ,2022-04-01,CL
553,PA,2022-05-19,2022-05-18,2025-07-04,U,2022-06-18,TR,9999-12-31, 
554,PV,2021-07-25,2021-07-24,2022-10-29,T,9999-12-31, ,9999-12-31, 
555,PA,2022-01-25,2022-01-24,2029-03-15,U,2022-04-12,TR,9999-12-31, 
556,PV,2022-02-18,2022-02-17,2027-11-14,M,9999-12-31, ,9999-12-31, 
557,PV,2021-07-13,2021-07-12,2026-12-30,A,9999-12-31, ,9999-12-31, 
558,PS,2021-05-16,2021-05-15,2024-10-08,T,9999-12-31, ,2022-02-20,FP
559,PV,2021-01-01,2020-12-31,2022-05-02,U,9999-12-31, ,9999-12-31, 
560,PS,2021-10-25,2021-10-24,2025-02-21,T,9999-12-31, ,2021-11-04,CL
561,PA,2021-12-16,2021-12-15,2030-05-17,M,2022-06-11,FA,9999-12-31, 
562,PA,2021-10-06,2021-10-05,2025-06-04,T,2022-05-02,TR,9999-12-31, 
563,PV,2021-10-05,2021-10-04,2027-03-25,T,9999-12-31, ,9999-12-31, 
564,PA,2022-02-21,2022-02-20,2025-06-14,M,2022-05-10,FA,9999-12-31, 
565,PV,2022-01-28,2022-01-27,2030-03-24,T,9999-12-31, ,9999-12-31, 
566,PS,2022-01-08,2022-01-07,2027-10-14,T,9999-12-31, ,2022-02-13,CL
567,PS,2022-06-03,2022-06-02,2023-10-14,M,9999-12-31, ,2022-06-05,CL
568,PA,2021-03-09,2021-03-08,2026-10-12,A,2021-06-08,FA,9999-12-31, 
569,PA,2022-04-14,2022-04-13,2027-06-04,A,2022-05-21,CL,9999-12-31, 
570,PS,2022-02-11,2022-02-10,2027-05-23,M,9999-12-31, ,2022-06-23,FP
571,PS,2021-12-29,2021-12-28,2024-05-21,S,9999-12-31, ,2022-06-29,CL
572,PS,2022-06-19,2022-06-18,2030-07-04,S,9999-12-31, ,2022-07-03,CL
573,PV,2021-01-27,2021-01-26,2023-03-16,U,9999-12-31, ,9999-12-31, 
574,PS,2021-03-07,2021-03-06,2028-03-22,U,9999-12-31, ,2021-11-23,CL
575,PV,2021-06-28,2021-06-27,2028-01-03,A,9999-12-31, ,9999-12-31, 
576,PS,2022-06-17,2022-06-16,2026-06-03,S,9999-12-31, ,2022-07-05,CL
577,PA,2022-05-04,2022-05-03,2028-07-10,M,2022-05-11,FA,9999-12-31, 
578,PS,2021-06-05,2021-06-04,2024-06-30,U,9999-12-31, ,2021-10-24,CL
579,PS,2021-09-17,2021-09-16,2028-02-13,A,9999-12-31, ,2021-12-01,FP
580,PA,2021-10-22,2021-10-21,2023-07-06,T,2022-06-24,CL,9999-12-31, 
581,PS,2021-09-22,2021-09-21,2030-01-07,A,9999-12-31, ,2022-06-06,CL
582,PA,2021-07-02,2021-07-01,2024-03-10,S,2022-02-05,FA,9999-12-31, 
583,PA,2020-11-15,2020-11-14,2024-07-12,M,2021-10-01,FA,9999-12-31, 
584,PV,2021-05-30,2021-05-29,2028-04-19,U,9999-12-31, ,9999-12-31, 
585,PA,2021-06-22,2021-06-21,2027-09-16,U,2022-05-26,TR,9999-12-31, 
586,PA,2021-10-15,2021-10-14,2029-08-08,A,2022-03-15,FA,9999-12-31, 
587,PS,2021-12-23,2021-12-22,2023-01-31,S,9999-12-31, ,2022-05-26,FP
588,PV,2021-10-11,2021-10-10,2022-04-05,S,9999-12-31, ,9999-12-31, 
589,PV,2021-09-19,2021-09-18,2023-01-28,M,9999-12-31, ,9999-12-31, 
590,PA,2021-08-19,2021-08-18,2022-11-29,M,2022-01-17,TR,9999-12-31, 
591,PS,2021-09-10,2021-09-09,2027-06-28,S,9999-12-31, ,2022-02-19,CL
592,PA,2022-01-06,2022-01-05,2024-10-04,T,2022-04-15,FP,9999-12-31, 
593,PA,2021-01-25,2021-01-24,2024-04-27,A,2021-03-02,TR,9999-12-31, 
594,PV,2021-07-11,2021-07-10,2022-05-20,S,9999-12-31, ,9999-12-31, 
