idcliente,numpoliza,tipo_intervencio,estado,fecha_alta,fecha_baja,orden_inter
557,557,TO,A,2021-09-21,2022-06-18,1
558,558,TO,B,2021-09-28,9999-12-31,1
559,559,TO,B,2021-04-01,9999-12-31,1
560,560,TO,B,2021-10-15,9999-12-31,1
561,561,TO,B,2021-03-15,9999-12-31,1
562,562,TO,B,2022-05-19,9999-12-31,1
563,563,TO,B,2021-08-16,9999-12-31,1
564,564,TO,B,2020-11-06,9999-12-31,1
565,565,TO,B,2022-06-30,9999-12-31,1
566,566,TO,A,2022-02-01,2022-03-13,1
567,567,TO,B,2022-01-16,9999-12-31,1
568,568,TO,A,2021-12-29,2021-12-03,1
569,569,TO,A,2021-06-13,2022-03-01,1
570,570,TO,A,2021-08-29,2022-02-03,1
571,571,TO,B,2020-11-22,9999-12-31,1
572,572,TO,B,2021-09-14,9999-12-31,1
573,573,TO,A,2022-03-16,2022-03-14,1
574,574,TO,A,2020-11-26,2022-05-18,1
575,575,TO,B,2022-06-27,9999-12-31,1
576,576,TO,A,2021-06-04,2022-04-17,1
577,577,TO,B,2021-01-10,9999-12-31,1
578,578,TO,B,2022-04-30,9999-12-31,1
579,579,TO,A,2021-04-08,2021-01-02,1
580,580,TO,A,2021-09-06,2021-01-27,1
581,581,TO,A,2020-10-19,2021-02-12,1
582,582,TO,A,2021-11-04,2021-09-15,1
583,583,TO,B,2022-06-21,9999-12-31,1
584,584,TO,A,2021-02-13,2022-01-15,1
585,585,TO,A,2021-07-14,2021-06-03,1
586,586,TO,A,2020-11-05,2022-01-25,1
587,587,TO,B,2020-11-28,9999-12-31,1
588,588,TO,B,2022-06-17,9999-12-31,1
589,589,TO,A,2022-04-28,2022-03-12,1
590,590,TO,B,2021-05-13,9999-12-31,1
591,591,TO,A,2021-11-04,2022-03-15,1
592,592,TO,B,2021-04-16,9999-12-31,1
593,593,TO,B,2022-01-23,9999-12-31,1
594,594,TO,B,2021-12-10,9999-12-31,1
595,595,TO,A,2021-08-19,2022-04-16,1
596,596,TO,A,2022-05-28,2022-05-13,1
597,597,TO,A,2021-10-29,2022-04-13,1
598,598,TO,A,2021-12-21,2021-05-12,1
599,599,TO,A,2020-10-29,2021-08-16,1
600,600,TO,A,2021-05-08,2021-10-31,1
601,601,TO,B,2022-04-17,9999-12-31,1
602,602,TO,A,2021-11-29,2020-12-14,1
603,603,TO,B,2021-12-12,9999-12-31,1
604,604,TO,A,2021-12-25,2020-10-29,1
605,605,TO,A,2022-02-18,2021-05-15,1
606,606,TO,A,2022-06-29,2022-01-01,1
607,607,TO,A,2021-04-20,2022-03-25,1
608,608,TO,B,2021-04-01,9999-12-31,1
609,609,TO,A,2022-03-15,2021-02-03,1
610,610,TO,B,2021-12-15,9999-12-31,1
611,611,TO,A,2022-05-20,2022-01-20,1
612,612,TO,B,2021-08-31,9999-12-31,1
613,613,TO,A,2020-10-11,2021-09-26,1
614,614,TO,A,2022-06-06,2022-01-15,1
615,615,TO,A,2021-08-06,2021-04-16,1
616,616,TO,B,2022-05-26,9999-12-31,1
617,617,TO,A,2022-02-22,2022-06-26,1
618,618,TO,A,2021-09-29,2021-10-08,1
619,619,TO,B,2022-06-04,9999-12-31,1
620,620,TO,A,2021-11-09,2022-05-10,1
621,621,TO,A,2021-08-25,2021-10-28,1
622,622,TO,A,2021-03-04,2022-02-28,1
623,623,TO,A,2021-03-08,2022-04-01,1
624,624,TO,B,2021-08-31,9999-12-31,1
625,625,TO,B,2021-03-04,9999-12-31,1
626,626,TO,A,2022-05-03,2021-04-04,1
627,627,TO,B,2021-04-05,9999-12-31,1
628,628,TO,B,2022-06-08,9999-12-31,1
629,629,TO,B,2022-03-18,9999-12-31,1
630,630,TO,A,2022-02-03,2021-11-22,1
631,631,TO,A,2020-10-12,2021-09-07,1
632,632,TO,B,2021-10-22,9999-12-31,1
633,633,TO,A,2022-01-10,2022-03-10,1
634,634,TO,B,2021-01-23,9999-12-31,1
635,635,TO,B,2021-05-04,9999-12-31,1
636,636,TO,B,2022-05-22,9999-12-31,1
637,637,TO,A,2022-01-18,2022-06-15,1
638,638,TO,B,2022-03-19,9999-12-31,1
639,639,TO,B,2021-11-21,9999-12-31,1
640,640,TO,B,2020-12-25,9999-12-31,1
641,641,TO,B,2022-03-13,9999-12-31,1
642,642,TO,A,2022-02-05,2022-03-30,1
643,643,TO,A,2021-07-06,2021-12-03,1
644,644,TO,B,2021-06-06,9999-12-31,1
645,645,TO,A,2021-07-26,2022-03-26,1
646,646,TO,B,2021-05-30,9999-12-31,1
647,647,TO,A,2021-08-19,2022-06-20,1
648,648,TO,B,2020-12-17,9999-12-31,1
649,649,TO,A,2021-05-22,2021-10-13,1
650,650,TO,B,2022-06-30,9999-12-31,1
651,651,TO,A,2021-10-20,2021-11-09,1
652,652,TO,B,2021-10-27,9999-12-31,1
653,653,TO,B,2021-01-12,9999-12-31,1
654,654,TO,B,2022-04-15,9999-12-31,1
655,655,TO,A,2021-06-30,2022-01-18,1
656,656,TO,B,2020-12-04,9999-12-31,1
657,657,TO,B,2021-07-29,9999-12-31,1
658,658,TO,A,2022-02-27,2020-10-30,1
659,659,TO,A,2021-04-13,2022-01-29,1
660,660,TO,B,2021-05-07,9999-12-31,1
661,661,TO,B,2021-03-16,9999-12-31,1
662,662,TO,B,2020-12-16,9999-12-31,1
663,663,TO,B,2021-11-28,9999-12-31,1
664,664,TO,A,2021-11-18,2021-08-30,1
665,665,TO,B,2021-04-01,9999-12-31,1
666,666,TO,B,2021-10-02,9999-12-31,1
667,667,TO,B,2022-03-31,9999-12-31,1
668,668,TO,B,2021-07-20,9999-12-31,1
669,669,TO,B,2022-06-20,9999-12-31,1
670,670,TO,A,2021-01-01,2021-04-13,1
671,671,TO,A,2021-08-12,2022-01-24,1
672,672,TO,B,2022-02-15,9999-12-31,1
673,673,TO,B,2021-08-01,9999-12-31,1
674,674,TO,B,2021-09-02,9999-12-31,1
675,675,TO,A,2021-01-25,2022-02-17,1
676,676,TO,B,2022-06-12,9999-12-31,1
677,677,TO,A,2021-08-15,2021-12-19,1
678,678,TO,A,2021-06-03,2022-02-14,1
679,679,TO,A,2021-06-24,2022-04-01,1
680,680,TO,B,2022-03-20,9999-12-31,1
681,681,TO,B,2022-02-11,9999-12-31,1
682,682,TO,B,2020-11-16,9999-12-31,1
683,683,TO,A,2022-06-08,2021-10-17,1
684,684,TO,A,2021-04-10,2021-01-18,1
685,685,TO,A,2021-08-08,2022-01-24,1
686,686,TO,B,2022-05-06,9999-12-31,1
687,687,TO,B,2022-06-28,9999-12-31,1
688,688,TO,B,2021-12-04,9999-12-31,1
689,689,TO,B,2020-12-05,9999-12-31,1
690,690,TO,A,2021-07-21,2020-10-14,1
691,691,TO,A,2022-01-09,2020-12-31,1
692,692,TO,B,2021-05-12,9999-12-31,1
693,693,TO,A,2021-03-24,2021-08-21,1
694,694,TO,A,2021-07-24,2021-01-21,1
695,695,TO,A,2021-07-24,2021-09-21,1
696,696,TO,A,2021-06-10,2022-01-22,1
697,697,TO,A,2021-01-13,2021-07-10,1
698,698,TO,A,2021-12-04,2021-09-14,1
699,699,TO,B,2021-02-05,9999-12-31,1
700,700,TO,A,2020-12-20,2022-02-05,1
701,701,TO,B,2022-05-02,9999-12-31,1
702,702,TO,B,2021-07-14,9999-12-31,1
703,703,TO,A,2022-05-16,2022-02-12,1
704,704,TO,B,2021-05-11,9999-12-31,1
705,705,TO,B,2021-01-08,9999-12-31,1
706,706,TO,A,2021-11-30,2022-03-11,1
707,707,TO,A,2021-05-07,2021-08-20,1
708,708,TO,B,2021-02-06,9999-12-31,1
709,709,TO,A,2020-11-19,2021-04-06,1
710,710,TO,B,2022-03-24,9999-12-31,1
711,711,TO,B,2022-05-01,9999-12-31,1
712,712,TO,A,2021-05-04,2021-11-01,1
713,713,TO,A,2021-01-12,2021-08-06,1
714,714,TO,A,2021-02-18,2021-10-24,1
715,715,TO,B,2020-10-11,9999-12-31,1
716,716,TO,B,2022-05-11,9999-12-31,1
717,717,TO,B,2021-02-06,9999-12-31,1
718,718,TO,B,2021-09-21,9999-12-31,1
719,719,TO,A,2021-07-24,2022-05-30,1
720,720,TO,B,2022-05-11,9999-12-31,1
721,721,TO,B,2022-06-07,9999-12-31,1
722,722,TO,B,2021-09-29,9999-12-31,1
723,723,TO,A,2021-03-17,2021-09-23,1
724,724,TO,A,2021-03-08,2021-07-19,1
725,725,TO,A,2021-04-30,2021-01-31,1
726,726,TO,A,2021-12-29,2021-08-08,1
727,727,TO,B,2022-05-13,9999-12-31,1
728,728,TO,A,2020-11-04,2020-11-08,1
729,729,TO,B,2020-10-16,9999-12-31,1
730,730,TO,B,2022-04-16,9999-12-31,1
731,731,TO,A,2021-07-09,2022-06-06,1
732,732,TO,A,2022-05-16,2021-12-25,1
733,733,TO,B,2021-09-27,9999-12-31,1
734,734,TO,B,2021-01-04,9999-12-31,1
735,735,TO,A,2022-06-23,2021-01-28,1
736,736,TO,A,2021-01-20,2021-08-04,1
737,737,TO,A,2021-05-16,2021-05-31,1
738,738,TO,A,2022-06-17,2021-04-14,1
739,739,TO,B,2022-01-23,9999-12-31,1
740,740,TO,B,2020-11-03,9999-12-31,1
741,741,TO,B,2020-10-26,9999-12-31,1
742,742,TO,A,2021-10-05,2022-03-08,1
743,743,TO,B,2021-02-02,9999-12-31,1
744,744,TO,A,2020-12-18,2021-10-28,1
745,745,TO,A,2021-10-09,2022-01-17,1
746,746,TO,A,2021-09-03,2021-02-23,1
747,747,TO,A,2021-12-27,2022-05-05,1
748,748,TO,B,2021-10-30,9999-12-31,1
749,749,TO,A,2021-10-27,2022-03-13,1
750,750,TO,A,2022-02-06,2021-06-28,1
751,751,TO,B,2022-03-04,9999-12-31,1
752,752,TO,B,2021-06-25,9999-12-31,1
753,753,TO,A,2022-05-12,2021-12-14,1
754,754,TO,A,2021-05-05,2022-03-18,1
755,755,TO,A,2022-02-07,2021-09-27,1
756,756,TO,B,2021-03-01,9999-12-31,1
757,757,TO,B,2021-10-12,9999-12-31,1
758,758,TO,A,2021-03-25,2022-02-27,1
759,759,TO,B,2022-01-24,9999-12-31,1
760,760,TO,A,2021-04-25,2021-11-23,1
761,761,TO,B,2021-02-19,9999-12-31,1
762,762,TO,A,2021-03-21,2020-12-13,1
763,763,TO,B,2022-03-23,9999-12-31,1
764,764,TO,B,2020-12-11,9999-12-31,1
765,765,TO,B,2021-07-29,9999-12-31,1
766,766,TO,B,2021-08-19,9999-12-31,1
767,767,TO,B,2021-12-29,9999-12-31,1
768,768,TO,B,2021-12-19,9999-12-31,1
769,769,TO,B,2022-05-25,9999-12-31,1
770,770,TO,B,2020-11-17,9999-12-31,1
771,771,TO,B,2022-02-24,9999-12-31,1
772,772,TO,A,2021-06-06,2020-10-25,1
773,773,TO,B,2021-11-04,9999-12-31,1
774,774,TO,A,2021-12-10,2021-05-14,1
775,775,TO,B,2020-12-18,9999-12-31,1
776,776,TO,A,2021-01-05,2021-10-05,1
777,777,TO,B,2021-10-12,9999-12-31,1
778,778,TO,A,2021-04-02,2021-09-23,1
779,779,TO,A,2022-02-04,2021-11-03,1
780,780,TO,A,2021-09-08,2022-01-28,1
781,781,TO,A,2021-05-29,2021-12-23,1
782,782,TO,B,2021-03-09,9999-12-31,1
783,783,TO,A,2021-07-15,2021-01-15,1
784,784,TO,B,2021-04-06,9999-12-31,1
785,785,TO,A,2022-04-22,2021-02-11,1
786,786,TO,B,2021-06-26,9999-12-31,1
787,787,TO,A,2021-09-21,2020-10-17,1
788,788,TO,B,2021-12-28,9999-12-31,1
789,789,TO,B,2022-06-23,9999-12-31,1
790,790,TO,B,2022-02-20,9999-12-31,1
791,791,TO,A,2022-06-07,2022-05-11,1
792,792,TO,A,2021-03-04,2022-02-20,1
793,793,TO,A,2021-11-06,2022-01-27,1
794,794,TO,B,2020-12-04,9999-12-31,1
795,795,TO,B,2022-07-02,9999-12-31,1
796,796,TO,A,2021-04-21,2021-06-23,1
797,797,TO,B,2021-05-27,9999-12-31,1
798,798,TO,B,2021-01-18,9999-12-31,1
799,799,TO,A,2022-05-12,2020-11-13,1
800,800,TO,A,2021-11-03,2021-01-14,1
801,801,TO,B,2022-03-23,9999-12-31,1
802,802,TO,A,2022-05-12,2021-07-02,1
803,803,TO,A,2021-05-12,2021-12-05,1
804,804,TO,B,2022-06-20,9999-12-31,1
805,805,TO,A,2021-03-01,2021-08-13,1
806,806,TO,A,2020-11-06,2021-03-27,1
807,807,TO,B,2021-08-21,9999-12-31,1
808,808,TO,B,2021-03-20,9999-12-31,1
809,809,TO,B,2022-04-25,9999-12-31,1
810,810,TO,A,2022-04-21,2021-12-10,1
811,811,TO,A,2021-09-04,2021-09-11,1
812,812,TO,B,2021-07-12,9999-12-31,1
813,813,TO,B,2020-10-11,9999-12-31,1
814,814,TO,A,2021-11-27,2022-03-29,1
815,815,TO,A,2020-10-30,2021-08-24,1
816,816,TO,B,2021-07-26,9999-12-31,1
817,817,TO,B,2022-05-22,9999-12-31,1
818,818,TO,A,2022-03-03,2022-06-21,1
819,819,TO,B,2022-06-06,9999-12-31,1
820,820,TO,B,2021-06-13,9999-12-31,1
821,821,TO,B,2021-08-12,9999-12-31,1
822,822,TO,B,2020-11-22,9999-12-31,1
823,823,TO,A,2020-11-19,2022-01-17,1
824,824,TO,A,2021-11-12,2021-05-26,1
825,825,TO,B,2021-04-30,9999-12-31,1
826,826,TO,B,2021-01-08,9999-12-31,1
827,827,TO,B,2021-10-10,9999-12-31,1
828,828,TO,B,2021-11-12,9999-12-31,1
829,829,TO,A,2022-05-21,2021-02-14,1
830,830,TO,B,2022-04-22,9999-12-31,1
831,831,TO,A,2021-08-17,2021-05-23,1
832,832,TO,B,2021-08-16,9999-12-31,1
833,833,TO,A,2021-11-25,2021-11-17,1
834,834,TO,A,2021-11-25,2022-05-27,1
835,835,TO,B,2021-08-11,9999-12-31,1
836,836,TO,B,2022-02-02,9999-12-31,1
837,837,TO,A,2022-02-15,2021-04-13,1
838,838,TO,B,2020-11-17,9999-12-31,1
839,839,TO,B,2022-03-09,9999-12-31,1
840,840,TO,A,2021-12-13,2021-04-12,1
841,841,TO,B,2021-07-09,9999-12-31,1
842,842,TO,B,2022-05-25,9999-12-31,1
843,843,TO,B,2022-05-01,9999-12-31,1
844,844,TO,A,2022-06-07,2021-04-07,1
845,845,TO,A,2022-05-22,2021-03-10,1
846,846,TO,B,2021-08-08,9999-12-31,1
847,847,TO,A,2022-07-02,2021-02-04,1
848,848,TO,B,2021-09-15,9999-12-31,1
849,849,TO,A,2022-03-18,2021-09-08,1
850,850,TO,A,2021-09-11,2021-11-13,1
851,851,TO,B,2021-01-12,9999-12-31,1
852,852,TO,B,2021-02-12,9999-12-31,1
853,853,TO,B,2022-05-07,9999-12-31,1
854,854,TO,A,2020-11-28,2021-07-19,1
855,855,TO,B,2021-08-02,9999-12-31,1
856,856,TO,A,2021-02-13,2022-06-25,1
857,857,TO,B,2021-06-02,9999-12-31,1
858,858,TO,B,2021-06-25,9999-12-31,1
859,859,TO,A,2022-06-14,2020-11-06,1
860,860,TO,A,2021-03-14,2021-09-07,1
861,861,TO,A,2021-03-27,2021-07-29,1
862,862,TO,B,2021-07-09,9999-12-31,1
863,863,TO,B,2021-06-21,9999-12-31,1
864,864,TO,B,2021-03-07,9999-12-31,1
865,865,TO,B,2021-07-14,9999-12-31,1
866,866,TO,A,2021-06-20,2021-07-14,1
867,867,TO,A,2022-01-28,2021-12-01,1
868,868,TO,B,2021-10-01,9999-12-31,1
869,869,TO,B,2022-02-10,9999-12-31,1
870,870,TO,A,2021-10-29,2020-12-29,1
871,871,TO,B,2021-08-08,9999-12-31,1
872,872,TO,A,2021-08-02,2020-11-23,1
873,873,TO,A,2021-08-04,2021-05-24,1
874,874,TO,A,2021-11-18,2022-03-23,1
875,875,TO,B,2022-05-13,9999-12-31,1
876,876,TO,A,2021-12-10,2022-06-14,1
877,877,TO,B,2021-07-02,9999-12-31,1
878,878,TO,A,2021-07-23,2021-02-07,1
879,879,TO,A,2022-06-04,2021-10-05,1
880,880,TO,B,2021-07-24,9999-12-31,1
881,881,TO,B,2021-11-06,9999-12-31,1
882,882,TO,A,2021-07-15,2021-11-29,1
883,883,TO,A,2021-12-31,2021-10-05,1
884,884,TO,A,2021-11-24,2022-02-24,1
885,885,TO,A,2021-03-25,2022-02-08,1
886,886,TO,A,2022-01-15,2022-06-14,1
887,887,TO,A,2021-09-09,2021-02-28,1
888,888,TO,B,2021-04-10,9999-12-31,1
889,889,TO,B,2020-11-19,9999-12-31,1
890,890,TO,A,2021-11-11,2021-01-05,1
891,891,TO,A,2021-06-04,2021-04-21,1
892,892,TO,B,2022-02-24,9999-12-31,1
893,893,TO,A,2021-10-30,2022-02-23,1
894,894,TO,B,2020-12-24,9999-12-31,1
895,895,TO,B,2022-04-24,9999-12-31,1
896,896,TO,A,2021-08-13,2021-09-13,1
897,897,TO,B,2020-10-31,9999-12-31,1
898,898,TO,A,2022-05-07,2021-10-27,1
899,899,TO,B,2022-03-30,9999-12-31,1
900,900,TO,A,2022-06-24,2022-05-29,1
901,901,TO,A,2021-12-29,2021-12-01,1
902,902,TO,A,2021-08-07,2022-05-24,1
903,903,TO,B,2020-11-20,9999-12-31,1
904,904,TO,B,2021-10-11,9999-12-31,1
905,905,TO,A,2021-05-30,2022-02-02,1
906,906,TO,A,2022-03-05,2020-12-23,1
907,907,TO,B,2021-07-19,9999-12-31,1
908,908,TO,B,2020-12-18,9999-12-31,1
909,909,TO,A,2021-06-30,2020-12-17,1
910,910,TO,B,2021-03-18,9999-12-31,1
911,911,TO,B,2021-04-19,9999-12-31,1
912,912,TO,B,2022-01-09,9999-12-31,1
913,913,TO,B,2022-06-24,9999-12-31,1
914,914,TO,A,2022-05-17,2021-11-30,1
915,915,TO,B,2021-05-20,9999-12-31,1
916,916,TO,B,2021-12-11,9999-12-31,1
917,917,TO,B,2021-08-12,9999-12-31,1
918,918,TO,B,2021-06-29,9999-12-31,1
919,919,TO,B,2021-11-16,9999-12-31,1
920,920,TO,B,2022-05-28,9999-12-31,1
921,921,TO,B,2021-11-25,9999-12-31,1
922,922,TO,B,2021-02-27,9999-12-31,1
923,923,TO,B,2020-12-15,9999-12-31,1
924,924,TO,B,2020-10-15,9999-12-31,1
925,925,TO,B,2022-02-26,9999-12-31,1
926,926,TO,A,2021-11-21,2021-09-12,1
927,927,TO,A,2021-06-26,2020-11-28,1
928,928,TO,B,2022-05-13,9999-12-31,1
929,929,TO,B,2021-04-29,9999-12-31,1
930,930,TO,A,2021-04-18,2021-11-12,1
931,931,TO,B,2021-01-23,9999-12-31,1
932,932,TO,B,2021-06-11,9999-12-31,1
933,933,TO,B,2021-09-24,9999-12-31,1
934,934,TO,B,2022-02-15,9999-12-31,1
935,935,TO,A,2021-12-25,2022-01-21,1
936,936,TO,A,2021-07-09,2021-04-10,1
937,937,TO,A,2021-01-30,2021-11-26,1
938,938,TO,A,2021-11-28,2021-10-05,1
939,939,TO,B,2021-06-23,9999-12-31,1
940,940,TO,B,2021-10-30,9999-12-31,1
941,941,TO,A,2021-04-20,2022-03-04,1
942,942,TO,B,2021-12-03,9999-12-31,1
943,943,TO,B,2022-02-11,9999-12-31,1
944,944,TO,B,2022-02-15,9999-12-31,1
945,945,TO,B,2022-04-06,9999-12-31,1
946,946,TO,B,2021-02-05,9999-12-31,1
947,947,TO,A,2021-07-10,2021-06-10,1
948,948,TO,B,2021-08-02,9999-12-31,1
949,949,TO,B,2021-10-20,9999-12-31,1
950,950,TO,B,2021-09-17,9999-12-31,1
951,951,TO,B,2022-01-06,9999-12-31,1
952,952,TO,A,2021-06-15,2021-07-15,1
953,953,TO,B,2022-03-13,9999-12-31,1
954,954,TO,A,2022-02-13,2021-08-22,1
955,955,TO,A,2021-12-27,2022-06-03,1
956,956,TO,B,2021-09-19,9999-12-31,1
957,957,TO,A,2021-03-14,2021-05-17,1
958,958,TO,B,2020-11-02,9999-12-31,1
959,959,TO,A,2021-03-20,2022-03-09,1
960,960,TO,A,2022-06-14,2022-05-07,1
961,961,TO,B,2021-09-07,9999-12-31,1
962,962,TO,A,2021-12-27,2020-11-05,1
963,963,TO,B,2020-11-21,9999-12-31,1
964,964,TO,A,2021-03-04,2021-05-06,1
965,965,TO,A,2021-02-09,2022-03-20,1
966,966,TO,B,2022-03-04,9999-12-31,1
967,967,TO,B,2021-10-24,9999-12-31,1
968,968,TO,A,2021-01-23,2021-06-25,1
969,969,TO,A,2021-03-30,2021-04-22,1
970,970,TO,B,2022-05-28,9999-12-31,1
971,971,TO,B,2022-06-16,9999-12-31,1
972,972,TO,B,2022-02-22,9999-12-31,1
973,973,TO,B,2022-03-02,9999-12-31,1
974,974,TO,A,2021-08-10,2021-02-17,1
975,975,TO,B,2021-02-02,9999-12-31,1
976,976,TO,A,2021-02-22,2021-05-15,1
977,977,TO,A,2021-08-14,2021-07-27,1
978,978,TO,B,2022-02-15,9999-12-31,1
979,979,TO,B,2022-05-05,9999-12-31,1
980,980,TO,A,2021-05-24,2022-04-27,1
981,981,TO,B,2021-02-26,9999-12-31,1
982,982,TO,A,2021-11-28,2022-06-09,1
983,983,TO,A,2021-11-09,2021-06-17,1
984,984,TO,B,2022-01-24,9999-12-31,1
985,985,TO,A,2021-03-20,2022-02-07,1
986,986,TO,A,2021-03-27,2021-03-15,1
987,987,TO,A,2021-05-30,2020-12-09,1
988,988,TO,A,2022-03-04,2021-11-29,1
989,989,TO,B,2021-11-27,9999-12-31,1
990,990,TO,A,2020-11-24,2021-10-19,1
991,991,TO,A,2021-12-24,2021-12-26,1
992,992,TO,B,2020-10-14,9999-12-31,1
993,993,TO,A,2022-05-12,2021-01-21,1
994,994,TO,A,2021-07-17,2021-08-10,1
995,995,TO,B,2022-03-23,9999-12-31,1
996,996,TO,B,2021-11-18,9999-12-31,1
997,997,TO,B,2021-11-10,9999-12-31,1
998,998,TO,A,2021-04-04,2021-11-13,1
999,999,TO,B,2021-09-22,9999-12-31,1
1,1000,AS,A,2021-04-19,2021-01-08,1
2,1001,AS,A,2022-01-26,2021-01-22,1
3,1002,AS,B,2020-10-22,9999-12-31,1
4,1003,AS,B,2022-04-23,9999-12-31,1
5,1004,AS,A,2020-12-15,2022-03-22,1
6,1005,AS,A,2021-11-28,2020-11-12,1
7,1006,AS,A,2022-03-03,2021-12-02,1
8,1007,AS,A,2021-10-30,2021-09-28,1
9,1008,AS,A,2021-08-05,2021-02-25,1
10,1009,AS,A,2021-10-15,2021-02-10,1
11,1010,AS,A,2021-01-04,2021-10-20,1
12,1011,AS,A,2021-09-29,2021-03-25,1
13,1012,AS,A,2020-10-27,2021-07-30,1
14,1013,AS,B,2021-07-28,9999-12-31,1
15,1014,AS,B,2022-02-05,9999-12-31,1
16,1015,AS,A,2021-05-03,2022-05-16,1
17,1016,AS,A,2021-03-21,2021-07-16,1
18,1017,AS,B,2022-02-19,9999-12-31,1
19,1018,AS,B,2022-05-11,9999-12-31,1
20,1019,AS,B,2021-01-31,9999-12-31,1
21,1020,AS,B,2022-04-16,9999-12-31,1
22,1021,AS,B,2022-04-09,9999-12-31,1
23,1022,AS,A,2020-11-29,2022-01-14,1
24,1023,AS,A,2021-05-15,2021-01-23,1
25,1024,AS,B,2021-06-02,9999-12-31,1
26,1025,AS,B,2021-11-15,9999-12-31,1
27,1026,AS,A,2021-11-15,2021-09-17,1
28,1027,AS,A,2021-10-06,2022-06-10,1
29,1028,AS,B,2020-11-16,9999-12-31,1
30,1029,AS,A,2020-10-23,2022-07-04,1
31,1030,AS,B,2022-03-29,9999-12-31,1
32,1031,AS,B,2020-12-16,9999-12-31,1
33,1032,AS,B,2022-02-09,9999-12-31,1
34,1033,AS,B,2021-03-09,9999-12-31,1
35,1034,AS,B,2021-02-20,9999-12-31,1
36,1035,AS,A,2022-04-04,2021-04-13,1
37,1036,AS,A,2021-07-29,2021-06-20,1
38,1037,AS,A,2021-02-17,2021-06-09,1
39,1038,AS,B,2021-10-03,9999-12-31,1
40,1039,AS,A,2022-06-25,2020-11-12,1
41,1040,AS,B,2021-04-15,9999-12-31,1
42,1041,AS,A,2022-02-14,2022-03-19,1
43,1042,AS,A,2021-02-11,2022-03-13,1
44,1043,AS,B,2020-12-20,9999-12-31,1
45,1044,AS,A,2021-05-10,2021-12-21,1
46,1045,AS,A,2022-02-04,2022-05-28,1
47,1046,AS,B,2022-02-17,9999-12-31,1
48,1047,AS,A,2022-01-08,2021-07-26,1
49,1048,AS,A,2021-11-18,2021-08-08,1
50,1049,AS,B,2022-06-21,9999-12-31,1
51,1050,AS,A,2022-01-28,2021-04-08,1
52,1051,AS,A,2022-06-19,2021-08-18,1
53,1052,AS,A,2021-10-14,2021-06-07,1
54,1053,AS,B,2021-04-11,9999-12-31,1
55,1054,AS,A,2022-06-17,2022-04-28,1
56,1055,AS,B,2020-11-28,9999-12-31,1
57,1056,AS,A,2021-10-02,2021-02-01,1
58,1057,AS,B,2022-03-26,9999-12-31,1
59,1058,AS,B,2021-01-22,9999-12-31,1
60,1059,AS,B,2022-03-12,9999-12-31,1
61,1060,AS,A,2021-12-29,2021-09-22,1
62,1061,AS,A,2021-01-19,2021-04-30,1
63,1062,AS,B,2021-03-12,9999-12-31,1
64,1063,AS,A,2022-04-08,2021-04-20,1
65,1064,AS,B,2021-09-12,9999-12-31,1
66,1065,AS,A,2021-01-26,2020-10-25,1
67,1066,AS,B,2021-04-03,9999-12-31,1
68,1067,AS,A,2021-01-01,2022-01-02,1
69,1068,AS,B,2020-11-18,9999-12-31,1
70,1069,AS,B,2021-09-22,9999-12-31,1
71,1070,AS,B,2022-05-17,9999-12-31,1
72,1071,AS,B,2022-03-27,9999-12-31,1
73,1072,AS,B,2020-12-30,9999-12-31,1
74,1073,AS,A,2021-08-20,2022-02-22,1
75,1074,AS,A,2021-01-11,2021-11-30,1
76,1075,AS,B,2022-06-24,9999-12-31,1
77,1076,AS,A,2021-11-14,2021-02-07,1
78,1077,AS,A,2021-08-31,2021-07-27,1
79,1078,AS,B,2021-05-07,9999-12-31,1
80,1079,AS,B,2021-06-24,9999-12-31,1
81,1080,AS,B,2022-04-30,9999-12-31,1
82,1081,AS,B,2021-07-07,9999-12-31,1
83,1082,AS,A,2021-11-29,2021-10-18,1
84,1083,AS,A,2021-08-31,2022-02-08,1
85,1084,AS,A,2020-12-18,2020-12-14,1
86,1085,AS,A,2022-01-11,2021-12-22,1
87,1086,AS,A,2021-06-28,2021-09-12,1
88,1087,AS,B,2022-02-04,9999-12-31,1
89,1088,AS,B,2021-03-11,9999-12-31,1
90,1089,AS,A,2022-03-27,2020-12-05,1
91,1090,AS,A,2020-11-24,2021-01-05,1
92,1091,AS,A,2021-06-24,2021-03-03,1
93,1092,AS,A,2021-10-29,2021-05-09,1
94,1093,AS,B,2021-01-11,9999-12-31,1
95,1094,AS,A,2021-12-07,2022-02-16,1
96,1095,AS,A,2021-03-14,2021-08-31,1
97,1096,AS,B,2022-04-12,9999-12-31,1
98,1097,AS,A,2021-12-11,2020-11-10,1
99,1098,AS,B,2022-01-28,9999-12-31,1
100,1099,AS,A,2022-05-26,2021-10-29,1
101,1100,AS,B,2022-04-24,9999-12-31,1
102,1101,AS,B,2021-01-19,9999-12-31,1
103,1102,AS,A,2020-11-12,2021-07-28,1
104,1103,AS,B,2022-01-18,9999-12-31,1
105,1104,AS,A,2021-01-19,2021-09-18,1
106,1105,AS,B,2021-08-14,9999-12-31,1
107,1106,AS,A,2021-11-13,2022-05-19,1
108,1107,AS,B,2021-08-03,9999-12-31,1
109,1108,AS,B,2020-12-21,9999-12-31,1
110,1109,AS,A,2021-11-01,2021-01-30,1
