idsiniestro,idpoliza,fecha_ocurs,fecha_apertura,fecha_cierre,tipo_siniestro,estado 
917,1964,2021-02-22,2021-03-27,2021-05-11,FA,CE
918,50,2022-01-25,2021-06-19,9999-12-31,IN,AB
919,1484,2021-04-10,2022-06-12,2022-06-24,RE,CE
920,937,2020-11-30,2022-01-24,2022-03-02,IN,CE
921,764,2021-11-22,2022-04-02,9999-12-31,RE,AB
922,140,2020-10-30,2020-12-16,9999-12-31,IN,AB
923,807,2021-05-02,2020-11-12,2022-06-01,RE,CE
924,1503,2021-06-05,2021-12-12,2022-03-29,RE,CE
925,1380,2021-01-07,2022-06-26,9999-12-31,IN,AB
926,554,2021-01-11,2022-05-01,2022-05-20,RE,CE
927,1583,2022-06-12,2022-01-18,2022-04-07,IN,CE
928,633,2020-11-02,2021-05-30,2022-05-31,RE,CE
929,825,2021-09-05,2021-06-17,2021-12-22,FA,CE
930,1532,2022-01-10,2021-08-28,9999-12-31,RE,AB
931,220,2020-12-14,2021-08-28,2021-11-12,FA,CE
932,1521,2022-06-06,2022-03-02,2022-04-17,RE,CE
933,60,2021-03-18,2021-01-06,2021-05-28,IN,CE
934,1145,2022-02-02,2021-08-13,9999-12-31,RE,AB
935,672,2022-03-12,2021-09-12,9999-12-31,FA,AB
936,1982,2022-04-20,2021-02-03,9999-12-31,FA,AB
937,1676,2020-10-31,2021-07-25,2022-03-23,RE,CE
938,549,2021-11-19,2022-05-24,9999-12-31,FA,AB
939,643,2021-02-17,2022-05-11,2022-06-25,IN,CE
940,227,2021-06-13,2022-05-30,9999-12-31,FA,AB
941,1207,2021-03-13,2021-01-06,9999-12-31,FA,AB
942,66,2021-03-16,2021-03-01,9999-12-31,IN,AB
943,1408,2021-05-17,2020-12-26,9999-12-31,FA,AB
944,789,2021-04-19,2020-10-17,9999-12-31,FA,AB
945,1247,2021-06-05,2021-10-09,9999-12-31,FA,AB
946,277,2021-06-07,2022-02-22,9999-12-31,FA,AB
947,1484,2022-01-08,2021-03-20,9999-12-31,IN,AB
948,1833,2022-07-01,2021-05-04,2022-05-09,IN,CE
949,1092,2020-11-24,2020-11-06,9999-12-31,RE,AB
950,1244,2021-02-13,2021-09-12,2022-06-04,IN,CE
951,1143,2020-11-21,2022-02-02,9999-12-31,IN,AB
952,1923,2021-03-03,2021-06-05,2022-01-04,RE,CE
953,526,2021-01-05,2021-08-20,2022-06-02,IN,CE
954,1511,2022-06-30,2022-04-20,9999-12-31,FA,AB
955,565,2021-01-29,2021-05-17,9999-12-31,IN,AB
956,1951,2022-02-22,2021-11-24,9999-12-31,IN,AB
957,1250,2021-03-21,2020-12-26,9999-12-31,FA,AB
958,1729,2022-04-04,2020-11-20,2020-12-18,RE,CE
959,1640,2022-03-08,2022-04-14,9999-12-31,FA,AB
960,402,2021-07-09,2021-04-29,9999-12-31,RE,AB
961,507,2022-03-10,2021-01-22,2021-07-15,IN,CE
962,377,2020-10-18,2021-10-01,2022-03-26,FA,CE
963,1446,2021-05-31,2022-01-04,2022-01-20,IN,CE
964,391,2021-06-16,2022-04-22,9999-12-31,RE,AB
965,1038,2021-05-23,2021-12-20,2022-03-25,IN,CE
966,353,2021-07-18,2020-12-22,9999-12-31,RE,AB
967,1166,2021-09-24,2022-07-05,2022-07-05,IN,CE
968,1722,2021-01-07,2020-12-03,9999-12-31,RE,AB
969,1831,2021-12-04,2021-04-29,9999-12-31,RE,AB
970,660,2021-10-02,2021-12-19,9999-12-31,RE,AB
971,1591,2022-06-25,2021-01-14,9999-12-31,IN,AB
972,889,2021-01-23,2021-01-25,2022-04-03,IN,CE
973,1687,2021-02-01,2021-08-31,2022-02-24,FA,CE
974,1261,2020-12-09,2022-04-07,9999-12-31,FA,AB
975,1103,2021-09-21,2021-11-12,2021-12-12,IN,CE
976,1859,2021-04-01,2022-04-14,9999-12-31,FA,AB
977,634,2021-12-01,2021-06-22,9999-12-31,FA,AB
978,1591,2021-08-05,2021-03-18,9999-12-31,FA,AB
979,1241,2020-11-10,2022-02-14,2022-02-14,FA,CE
980,760,2021-02-18,2022-01-18,2022-06-24,FA,CE
981,223,2022-05-19,2022-04-29,9999-12-31,FA,AB
982,965,2021-07-18,2020-12-31,2021-01-09,FA,CE
983,1608,2022-04-01,2021-06-26,2021-10-30,IN,CE
984,1256,2022-03-16,2021-07-04,9999-12-31,FA,AB
985,765,2021-01-24,2021-08-30,2022-07-04,IN,CE
986,796,2021-06-09,2022-01-30,9999-12-31,IN,AB
987,1758,2022-03-14,2020-10-29,9999-12-31,IN,AB
988,4,2021-04-06,2021-08-05,9999-12-31,FA,AB
989,1297,2021-09-17,2022-05-04,2022-07-04,RE,CE
990,937,2021-11-11,2022-02-18,2022-04-04,IN,CE
991,361,2021-06-09,2021-10-11,2022-03-14,FA,CE
992,169,2022-01-31,2022-05-05,2022-06-11,RE,CE
993,449,2021-12-01,2020-12-31,9999-12-31,IN,AB
994,949,2021-06-19,2021-02-27,9999-12-31,FA,AB
995,534,2021-08-05,2021-02-15,9999-12-31,RE,AB
996,1064,2021-11-20,2022-06-09,9999-12-31,FA,AB
997,911,2022-02-20,2022-05-15,9999-12-31,IN,AB
998,1197,2022-04-10,2021-05-29,2021-07-22,FA,CE
999,320,2021-06-21,2022-03-30,9999-12-31,FA,AB
1000,369,2021-12-27,2021-11-06,2021-12-07,RE,CE
1001,1652,2021-04-15,2021-05-24,9999-12-31,IN,AB
1002,1848,2022-02-02,2020-10-12,2021-10-01,RE,CE
1003,82,2021-07-23,2022-06-08,9999-12-31,IN,AB
1004,1665,2022-04-07,2021-03-28,9999-12-31,RE,AB
1005,820,2021-08-15,2020-10-16,2022-03-17,RE,CE
1006,929,2022-07-01,2020-12-03,2021-07-20,IN,CE
1007,805,2022-05-26,2021-05-03,9999-12-31,IN,AB
1008,1057,2020-12-04,2021-01-01,2021-01-23,RE,CE
1009,994,2021-07-05,2021-04-01,2021-04-02,FA,CE
1010,876,2021-09-14,2021-03-06,2021-07-19,FA,CE
1011,1709,2022-02-19,2021-01-31,9999-12-31,IN,AB
1012,768,2022-04-27,2022-06-24,2022-07-01,FA,CE
1013,1530,2021-04-04,2020-11-08,9999-12-31,RE,AB
1014,910,2021-07-28,2021-02-05,9999-12-31,RE,AB
1015,1419,2022-06-02,2021-08-17,9999-12-31,RE,AB
1016,1961,2020-11-21,2021-07-09,9999-12-31,FA,AB
1017,1779,2021-03-02,2020-10-26,2021-09-25,FA,CE
1018,271,2021-04-20,2021-09-23,9999-12-31,FA,AB
1019,1598,2022-04-28,2021-12-25,9999-12-31,FA,AB
1020,448,2021-06-07,2021-12-10,2022-05-28,RE,CE
1021,985,2020-12-26,2021-10-09,9999-12-31,IN,AB
1022,814,2022-05-07,2021-11-11,2021-11-24,IN,CE
1023,19,2022-04-23,2021-03-12,2021-10-16,FA,CE
1024,1519,2021-12-17,2021-03-06,2021-06-09,IN,CE
1025,747,2021-06-07,2021-07-13,2021-08-02,FA,CE
1026,557,2021-07-25,2021-12-12,9999-12-31,IN,AB
1027,795,2021-06-26,2022-02-06,9999-12-31,IN,AB
1028,599,2021-02-22,2022-04-25,2022-06-01,FA,CE
1029,1466,2021-03-14,2022-01-05,2022-06-25,FA,CE
1030,851,2021-05-15,2020-11-30,2022-03-28,RE,CE
1031,148,2020-12-11,2020-12-17,2021-07-06,FA,CE
1032,1947,2020-11-29,2022-05-09,9999-12-31,RE,AB
1033,499,2021-05-18,2021-09-02,9999-12-31,FA,AB
1034,1287,2021-09-25,2020-11-09,2021-02-25,RE,CE
1035,415,2022-05-25,2022-02-17,2022-05-23,FA,CE
1036,1853,2020-12-08,2021-08-12,2021-11-09,RE,CE
1037,301,2021-02-19,2021-01-15,9999-12-31,FA,AB
1038,985,2021-09-20,2021-05-28,2022-02-16,FA,CE
1039,515,2022-03-14,2020-12-25,2021-01-08,IN,CE
1040,182,2022-02-12,2022-04-30,2022-05-08,FA,CE
1041,264,2021-11-26,2021-08-24,2021-10-04,FA,CE
1042,607,2021-11-19,2021-05-16,2022-02-23,IN,CE
1043,1693,2021-03-30,2021-07-18,9999-12-31,IN,AB
1044,1138,2022-04-16,2021-04-11,9999-12-31,FA,AB
1045,224,2021-10-11,2022-05-01,9999-12-31,RE,AB
1046,1055,2021-04-04,2021-06-06,9999-12-31,RE,AB
1047,748,2020-11-11,2021-01-27,9999-12-31,FA,AB
1048,1846,2021-11-03,2021-03-09,2021-10-21,IN,CE
1049,1909,2021-11-25,2022-02-25,9999-12-31,IN,AB
1050,1032,2021-04-06,2021-07-07,2021-10-10,IN,CE
1051,1869,2022-05-02,2020-12-26,2021-11-13,RE,CE
1052,1078,2020-12-16,2021-07-03,9999-12-31,RE,AB
1053,1636,2021-08-24,2021-12-10,9999-12-31,RE,AB
1054,1311,2021-01-20,2020-12-29,2021-04-10,IN,CE
1055,664,2021-02-12,2021-11-28,9999-12-31,FA,AB
1056,998,2021-03-09,2021-05-05,2021-09-26,FA,CE
1057,446,2021-06-07,2022-01-26,2022-02-06,RE,CE
1058,782,2022-02-11,2020-10-16,9999-12-31,RE,AB
1059,1844,2021-03-26,2021-07-19,2021-07-24,RE,CE
1060,1702,2021-11-03,2022-01-09,9999-12-31,IN,AB
1061,1072,2021-04-17,2022-01-18,2022-06-10,FA,CE
1062,760,2022-07-01,2022-04-12,2022-05-02,IN,CE
1063,123,2021-07-29,2022-05-19,9999-12-31,RE,AB
1064,381,2022-05-04,2021-08-27,2022-04-12,FA,CE
1065,1284,2020-11-22,2022-06-19,2022-06-30,RE,CE
1066,499,2021-05-13,2022-02-15,2022-03-14,FA,CE
1067,619,2021-12-30,2021-03-09,2021-11-06,RE,CE
1068,883,2021-08-08,2022-03-27,9999-12-31,RE,AB
1069,1427,2022-01-01,2021-04-28,2021-07-05,IN,CE
1070,650,2022-04-08,2022-06-03,2022-07-04,FA,CE
1071,994,2022-03-11,2020-11-06,2022-02-17,RE,CE
1072,1470,2021-08-05,2020-12-05,9999-12-31,RE,AB
1073,811,2020-12-29,2022-05-23,2022-06-06,IN,CE
1074,523,2022-02-11,2021-06-06,2021-11-25,RE,CE
1075,446,2021-04-13,2021-09-15,9999-12-31,FA,AB
1076,765,2022-06-01,2022-01-29,9999-12-31,FA,AB
1077,305,2021-05-21,2021-07-21,9999-12-31,RE,AB
1078,609,2021-12-28,2021-02-01,2021-05-31,FA,CE
1079,1708,2022-07-02,2021-08-15,2022-03-07,IN,CE
1080,1330,2021-09-10,2021-09-09,9999-12-31,RE,AB
1081,651,2021-10-24,2021-09-09,9999-12-31,FA,AB
1082,1031,2021-06-30,2022-02-20,2022-06-27,RE,CE
1083,753,2021-04-04,2020-12-24,9999-12-31,IN,AB
1084,383,2021-09-19,2020-12-14,2021-10-19,FA,CE
1085,848,2021-05-23,2021-05-03,2022-05-26,IN,CE
1086,1165,2021-03-25,2021-02-16,9999-12-31,RE,AB
1087,540,2021-12-14,2022-03-09,9999-12-31,IN,AB
1088,281,2022-06-25,2021-11-27,9999-12-31,RE,AB
1089,1379,2021-04-13,2021-10-25,2021-11-18,IN,CE
1090,1311,2021-11-02,2022-05-29,2022-05-30,RE,CE
1091,1435,2021-06-18,2020-10-16,9999-12-31,FA,AB
1092,1301,2022-01-23,2020-11-04,9999-12-31,FA,AB
1093,834,2022-02-18,2021-03-30,2022-03-20,FA,CE
1094,423,2021-09-17,2021-06-17,2021-07-02,FA,CE
1095,238,2021-03-13,2022-02-08,9999-12-31,RE,AB
1096,532,2021-08-13,2021-10-03,2022-03-15,RE,CE
1097,715,2021-01-10,2020-12-30,2021-09-26,RE,CE
1098,1523,2020-12-09,2021-04-07,2021-07-03,RE,CE
1099,1191,2022-02-25,2021-03-14,9999-12-31,RE,AB
1100,913,2021-07-01,2022-06-03,2022-06-27,RE,CE
1101,702,2021-06-23,2021-06-13,2022-01-25,FA,CE
1102,119,2021-08-11,2022-03-06,2022-04-22,RE,CE
1103,1441,2022-06-28,2022-02-15,2022-03-22,FA,CE
1104,1407,2022-03-23,2021-10-01,9999-12-31,FA,AB
1105,347,2022-06-23,2021-05-08,2021-10-29,RE,CE
1106,45,2021-08-28,2021-10-20,9999-12-31,RE,AB
1107,1249,2021-08-16,2022-04-10,2022-06-15,RE,CE
1108,1943,2021-11-20,2022-06-23,2022-07-01,RE,CE
1109,706,2022-02-09,2021-06-19,9999-12-31,FA,AB
1110,1999,2022-05-24,2022-05-22,2022-06-21,FA,CE
1111,12,2022-02-08,2021-09-03,2021-10-12,FA,CE
1112,1072,2021-10-01,2022-03-26,9999-12-31,FA,AB
1113,264,2021-04-26,2021-10-31,9999-12-31,IN,AB
1114,531,2020-10-11,2022-05-13,9999-12-31,IN,AB
1115,1831,2021-04-25,2020-11-15,2021-05-08,RE,CE
1116,1530,2021-01-18,2020-12-22,2022-03-27,FA,CE
1117,1790,2020-12-23,2021-08-27,9999-12-31,IN,AB
1118,444,2022-02-19,2022-06-20,2022-06-27,RE,CE
1119,820,2020-11-28,2021-11-04,9999-12-31,IN,AB
1120,1905,2021-03-07,2021-04-29,2022-06-02,FA,CE
1121,1930,2022-05-01,2021-09-24,2022-01-18,RE,CE
1122,649,2021-06-03,2022-05-01,2022-05-26,IN,CE
1123,1011,2021-09-17,2020-11-19,9999-12-31,IN,AB
1124,1492,2021-05-07,2021-10-20,9999-12-31,IN,AB
1125,265,2022-02-11,2020-12-20,2021-10-07,RE,CE
1126,1075,2021-05-31,2021-08-04,9999-12-31,FA,AB
1127,34,2021-10-26,2020-10-29,9999-12-31,FA,AB
1128,828,2022-02-12,2020-12-12,2022-05-31,IN,CE
1129,1950,2022-01-04,2021-10-04,9999-12-31,RE,AB
1130,737,2022-01-02,2021-04-22,9999-12-31,IN,AB
1131,1965,2022-06-02,2021-07-04,9999-12-31,RE,AB
1132,621,2022-04-30,2022-03-02,9999-12-31,FA,AB
1133,1992,2022-06-24,2021-10-22,2022-04-13,RE,CE
1134,1635,2022-06-03,2021-04-25,2021-10-11,RE,CE
1135,1835,2022-04-08,2021-12-18,2022-01-22,RE,CE
1136,380,2022-01-31,2021-12-02,2022-02-01,IN,CE
1137,1227,2022-05-26,2021-07-24,9999-12-31,RE,AB
1138,1123,2022-05-23,2021-08-28,9999-12-31,IN,AB
1139,554,2022-04-17,2021-03-20,9999-12-31,IN,AB
1140,1957,2021-05-16,2021-05-08,9999-12-31,IN,AB
1141,1401,2021-03-11,2021-08-05,2021-09-19,FA,CE
1142,829,2022-05-19,2022-03-15,2022-04-14,FA,CE
1143,870,2022-01-16,2021-12-06,9999-12-31,RE,AB
1144,1788,2021-04-15,2022-02-13,2022-04-19,FA,CE
1145,116,2022-06-03,2022-01-22,2022-06-06,IN,CE
1146,161,2021-09-15,2021-04-17,2021-09-24,RE,CE
1147,1581,2021-07-13,2021-02-28,9999-12-31,IN,AB
1148,536,2020-12-20,2021-12-13,2022-07-03,IN,CE
1149,1129,2022-03-06,2021-12-13,2022-06-27,IN,CE
1150,473,2021-01-31,2020-12-10,2021-09-26,RE,CE
1151,1968,2022-05-04,2021-04-21,9999-12-31,RE,AB
1152,675,2022-01-03,2021-11-12,2022-01-02,IN,CE
1153,1045,2020-11-15,2021-07-26,2022-05-20,IN,CE
1154,1191,2021-03-11,2021-11-05,9999-12-31,FA,AB
1155,824,2020-10-13,2021-04-06,2021-10-30,FA,CE
1156,1079,2021-06-13,2020-12-19,2021-10-06,RE,CE
1157,1230,2020-10-18,2021-10-02,2022-06-16,RE,CE
1158,430,2021-03-19,2021-02-24,2022-02-06,IN,CE
1159,1030,2021-08-04,2020-10-29,2021-05-02,RE,CE
1160,1139,2021-04-28,2021-10-14,2022-06-23,FA,CE
1161,213,2021-02-13,2021-11-11,2022-05-18,FA,CE
1162,1991,2020-11-09,2022-06-17,9999-12-31,IN,AB
1163,1632,2022-02-13,2022-02-02,9999-12-31,IN,AB
1164,1602,2021-08-18,2020-10-24,2021-12-18,RE,CE
1165,109,2020-10-22,2021-01-10,2022-04-18,IN,CE
1166,1277,2020-12-23,2021-04-07,2021-10-13,IN,CE
1167,515,2022-06-03,2021-12-04,2022-04-02,IN,CE
1168,1472,2022-05-16,2021-05-14,2021-07-06,FA,CE
1169,416,2021-09-12,2020-11-21,9999-12-31,IN,AB
1170,440,2022-01-03,2022-05-20,2022-06-12,FA,CE
1171,1293,2022-03-18,2021-07-27,2022-02-08,IN,CE
1172,894,2020-12-08,2021-07-01,2022-04-28,FA,CE
1173,1774,2021-12-18,2021-06-19,9999-12-31,FA,AB
1174,1463,2020-11-14,2022-03-13,9999-12-31,IN,AB
1175,1651,2022-05-26,2022-04-07,2022-06-09,IN,CE
1176,208,2021-04-09,2021-09-10,2022-01-16,FA,CE
1177,1349,2021-09-22,2021-10-25,2022-01-29,IN,CE
1178,1035,2021-12-22,2021-09-06,2021-12-08,FA,CE
1179,1159,2021-09-22,2021-11-13,9999-12-31,RE,AB
1180,881,2020-11-17,2021-02-28,2022-03-24,IN,CE
1181,381,2022-01-25,2021-05-11,2021-12-17,RE,CE
1182,1125,2021-01-30,2022-06-03,2022-06-11,FA,CE
1183,182,2021-04-17,2021-08-14,9999-12-31,RE,AB
1184,1652,2021-12-19,2021-07-27,2021-08-11,IN,CE
1185,1886,2022-04-09,2022-04-19,2022-06-08,FA,CE
1186,1517,2022-04-06,2020-11-07,2021-06-26,RE,CE
1187,1524,2022-03-04,2020-11-30,2021-12-19,IN,CE
1188,788,2021-07-14,2021-10-21,9999-12-31,RE,AB
1189,662,2021-05-12,2022-06-30,2022-07-05,FA,CE
1190,1842,2020-11-18,2021-07-01,2022-03-30,IN,CE
1191,673,2022-02-01,2022-05-19,2022-06-08,IN,CE
1192,1565,2022-05-07,2021-08-08,9999-12-31,FA,AB
1193,1360,2022-05-03,2021-03-04,2022-06-04,IN,CE
1194,736,2020-11-26,2022-02-10,9999-12-31,RE,AB
1195,202,2021-07-21,2021-06-27,9999-12-31,FA,AB
1196,1138,2021-11-27,2021-05-28,9999-12-31,RE,AB
1197,39,2022-03-07,2021-10-20,2022-02-01,IN,CE
1198,1187,2021-03-07,2022-04-24,2022-06-11,IN,CE
1199,1767,2021-11-14,2021-01-08,9999-12-31,FA,AB
1200,369,2022-06-24,2021-05-23,9999-12-31,RE,AB
1201,261,2022-01-23,2021-12-02,2022-04-13,RE,CE
1202,42,2021-08-08,2021-03-13,9999-12-31,IN,AB
1203,156,2020-12-26,2021-07-09,9999-12-31,FA,AB
1204,1712,2021-07-09,2021-01-14,2021-07-29,RE,CE
1205,182,2022-06-06,2020-11-22,9999-12-31,FA,AB
1206,150,2021-06-22,2021-07-28,2021-07-28,RE,CE
1207,1808,2022-05-10,2021-07-02,9999-12-31,IN,AB
1208,180,2021-03-22,2021-05-13,2022-05-12,FA,CE
1209,625,2022-06-03,2021-10-24,9999-12-31,FA,AB
1210,487,2021-01-21,2021-02-28,2021-08-01,FA,CE
1211,389,2021-05-20,2021-07-10,2021-11-11,IN,CE
1212,1613,2020-11-12,2021-03-20,2022-04-21,FA,CE
1213,930,2021-06-14,2020-11-12,2021-02-02,IN,CE
1214,847,2021-10-14,2021-08-08,2022-05-12,RE,CE
1215,517,2021-12-14,2022-02-20,2022-06-14,RE,CE
1216,199,2021-01-18,2022-01-31,2022-07-02,IN,CE
1217,1542,2020-11-08,2021-01-14,9999-12-31,IN,AB
1218,1187,2020-12-28,2022-06-08,2022-06-23,RE,CE
1219,278,2021-08-26,2022-06-22,9999-12-31,RE,AB
1220,1847,2022-03-03,2021-02-27,9999-12-31,FA,AB
1221,635,2021-04-28,2022-03-27,9999-12-31,RE,AB
1222,1868,2021-07-23,2020-11-21,2022-05-01,RE,CE
1223,856,2021-04-12,2021-06-23,2022-03-14,FA,CE
1224,1735,2021-09-23,2022-05-10,9999-12-31,FA,AB
1225,1442,2021-10-26,2021-12-15,2022-05-24,FA,CE
1226,1995,2021-03-13,2021-07-28,9999-12-31,FA,AB
1227,1668,2021-01-07,2020-10-16,9999-12-31,FA,AB
1228,1968,2021-01-27,2021-10-08,2022-03-29,FA,CE
1229,46,2021-03-03,2021-01-04,2022-03-16,RE,CE
1230,659,2022-01-06,2020-12-02,2021-11-21,FA,CE
1231,455,2022-06-15,2022-06-16,2022-07-05,RE,CE
1232,361,2021-12-15,2021-03-16,2021-10-11,RE,CE
1233,762,2021-11-21,2020-11-08,9999-12-31,IN,AB
1234,1812,2022-01-15,2021-09-16,9999-12-31,FA,AB
1235,258,2021-01-13,2022-06-18,2022-06-26,IN,CE
1236,1472,2022-04-15,2021-05-28,2021-11-20,IN,CE
1237,1934,2022-03-31,2022-04-03,9999-12-31,FA,AB
1238,862,2021-02-21,2021-07-03,2021-09-27,FA,CE
1239,1177,2022-02-27,2022-02-16,2022-02-18,RE,CE
1240,1600,2021-09-26,2022-02-07,9999-12-31,IN,AB
1241,593,2021-12-09,2021-11-28,2022-02-10,IN,CE
1242,455,2021-04-10,2020-10-24,9999-12-31,IN,AB
1243,841,2021-02-25,2020-10-28,9999-12-31,IN,AB
1244,1795,2022-01-03,2021-11-29,2022-02-10,FA,CE
1245,40,2022-04-30,2021-12-08,9999-12-31,IN,AB
1246,1250,2021-07-17,2022-02-08,2022-05-16,IN,CE
1247,1857,2022-03-26,2021-08-22,9999-12-31,FA,AB
1248,75,2022-04-16,2021-08-21,2022-06-10,RE,CE
1249,1496,2020-11-28,2021-04-27,2022-02-26,IN,CE
1250,30,2020-11-15,2022-01-09,9999-12-31,RE,AB
1251,1394,2022-05-15,2021-11-14,2022-04-18,FA,CE
1252,1971,2021-08-05,2020-11-19,2022-04-03,IN,CE
1253,1625,2021-12-10,2022-04-19,2022-06-22,FA,CE
1254,1837,2021-02-15,2021-04-09,9999-12-31,FA,AB
1255,34,2021-11-06,2020-12-20,2021-10-12,IN,CE
1256,566,2022-02-24,2020-10-23,9999-12-31,FA,AB
1257,1628,2021-10-18,2022-04-22,9999-12-31,RE,AB
1258,1374,2021-06-10,2022-05-26,9999-12-31,FA,AB
1259,1822,2021-09-22,2020-10-14,9999-12-31,FA,AB
1260,240,2022-01-22,2021-09-06,9999-12-31,FA,AB
1261,566,2022-05-26,2021-02-06,9999-12-31,IN,AB
1262,1293,2020-11-18,2021-03-29,2021-12-01,IN,CE
1263,1318,2021-01-14,2021-11-16,9999-12-31,IN,AB
1264,396,2022-05-26,2022-07-01,2022-07-04,IN,CE
1265,289,2020-12-21,2021-10-29,2022-03-05,RE,CE
1266,650,2020-11-03,2021-01-19,9999-12-31,FA,AB
1267,450,2021-02-05,2021-12-24,2021-12-27,IN,CE
1268,602,2021-07-20,2021-01-03,2022-05-20,FA,CE
1269,568,2021-12-31,2021-11-03,9999-12-31,IN,AB
1270,1064,2021-02-06,2022-03-09,9999-12-31,IN,AB
1271,791,2021-11-06,2021-03-11,2021-09-12,IN,CE
1272,402,2021-04-27,2021-03-18,9999-12-31,RE,AB
1273,115,2021-11-06,2021-09-05,9999-12-31,RE,AB
1274,1390,2022-02-19,2021-11-08,9999-12-31,RE,AB
1275,1023,2021-01-13,2021-09-07,2021-10-21,RE,CE
1276,1978,2021-10-02,2022-06-24,9999-12-31,RE,AB
1277,164,2021-06-04,2021-04-19,2022-04-17,RE,CE
1278,1364,2020-11-01,2020-10-30,2022-04-28,IN,CE
1279,674,2022-03-12,2021-12-10,9999-12-31,FA,AB
1280,312,2021-01-21,2021-07-04,2022-05-14,FA,CE
1281,1149,2021-11-07,2020-10-14,9999-12-31,FA,AB
1282,1232,2020-12-02,2021-01-13,9999-12-31,RE,AB
1283,121,2022-01-20,2022-04-01,9999-12-31,RE,AB
1284,1903,2021-07-11,2021-06-02,2022-01-04,IN,CE
1285,601,2022-06-14,2021-02-15,2021-03-27,IN,CE
1286,1465,2020-10-22,2020-12-15,9999-12-31,IN,AB
1287,1287,2022-01-20,2022-05-14,9999-12-31,FA,AB
1288,1328,2021-10-06,2022-05-02,2022-05-08,IN,CE
1289,971,2021-12-01,2022-05-21,2022-07-03,RE,CE
1290,1848,2022-01-21,2022-02-22,9999-12-31,RE,AB
1291,901,2022-05-14,2022-04-16,2022-06-20,FA,CE
1292,1121,2021-08-10,2021-06-02,9999-12-31,FA,AB
1293,1437,2021-06-25,2022-05-07,9999-12-31,FA,AB
1294,626,2021-11-04,2022-06-26,9999-12-31,FA,AB
1295,1778,2021-03-18,2021-12-25,9999-12-31,FA,AB
1296,104,2022-03-05,2021-02-07,2021-03-08,FA,CE
1297,1762,2021-05-27,2021-04-22,9999-12-31,FA,AB
1298,877,2022-01-21,2022-05-27,2022-06-18,IN,CE
1299,437,2021-01-02,2021-02-24,2021-10-19,IN,CE
1300,754,2020-11-30,2021-01-31,2022-06-17,FA,CE
1301,1890,2020-12-01,2020-11-25,2021-06-25,FA,CE
1302,784,2021-02-28,2021-11-09,2022-01-05,IN,CE
1303,485,2022-01-14,2021-03-01,9999-12-31,RE,AB
1304,1228,2021-08-23,2022-05-23,2022-07-05,RE,CE
1305,1098,2020-12-18,2022-06-21,2022-06-29,RE,CE
1306,1787,2022-03-29,2021-05-25,2022-04-06,IN,CE
1307,913,2020-10-26,2021-12-17,9999-12-31,RE,AB
1308,1267,2020-12-28,2022-05-26,9999-12-31,RE,AB
1309,1828,2021-10-15,2022-06-04,9999-12-31,FA,AB
1310,630,2021-06-21,2021-02-28,9999-12-31,FA,AB
1311,1488,2022-06-20,2021-04-11,9999-12-31,IN,AB
1312,1418,2021-07-05,2021-03-24,2021-10-26,RE,CE
1313,805,2021-04-16,2021-08-19,9999-12-31,FA,AB
1314,328,2022-03-15,2022-06-08,9999-12-31,RE,AB
1315,772,2020-12-11,2021-12-16,2022-02-24,RE,CE
1316,1132,2021-11-15,2020-11-27,9999-12-31,IN,AB
1317,701,2021-09-27,2021-04-29,9999-12-31,FA,AB
1318,1664,2022-05-12,2021-10-19,9999-12-31,IN,AB
1319,764,2022-05-22,2022-01-17,9999-12-31,IN,AB
1320,775,2022-02-03,2021-06-06,2021-07-29,FA,CE
1321,1274,2021-12-19,2021-01-05,2021-04-26,RE,CE
1322,1175,2021-03-31,2021-07-11,2021-09-06,IN,CE
1323,1586,2021-04-21,2022-04-25,2022-06-17,FA,CE
1324,1876,2022-05-17,2021-02-07,9999-12-31,IN,AB
1325,462,2022-06-30,2021-12-20,9999-12-31,FA,AB
1326,1290,2021-08-03,2020-11-06,9999-12-31,RE,AB
1327,119,2022-06-19,2021-09-13,9999-12-31,IN,AB
1328,239,2020-11-05,2021-05-18,9999-12-31,IN,AB
1329,26,2021-10-02,2021-05-10,2021-11-13,RE,CE
1330,1091,2020-11-05,2021-09-10,9999-12-31,RE,AB
1331,1275,2022-01-03,2021-12-18,2022-06-21,FA,CE
1332,56,2020-12-06,2022-01-31,2022-03-13,FA,CE
1333,181,2021-12-13,2021-07-12,9999-12-31,FA,AB
1334,1161,2020-10-24,2022-01-20,9999-12-31,FA,AB
1335,1619,2021-02-20,2021-08-12,2021-10-03,RE,CE
1336,427,2021-10-29,2020-11-17,2022-02-03,IN,CE
1337,1985,2021-12-01,2021-02-20,9999-12-31,FA,AB
1338,1768,2021-10-15,2020-12-06,2021-08-21,FA,CE
1339,525,2020-10-28,2021-05-20,2021-08-06,FA,CE
1340,1880,2021-03-10,2021-01-05,2022-01-24,IN,CE
1341,1983,2021-12-14,2021-11-25,9999-12-31,FA,AB
1342,1494,2022-01-21,2022-02-14,2022-06-24,FA,CE
1343,595,2021-02-14,2020-11-09,9999-12-31,IN,AB
1344,1595,2021-06-07,2021-10-21,2021-12-17,FA,CE
1345,473,2022-04-08,2021-11-01,9999-12-31,RE,AB
1346,252,2021-07-24,2021-10-13,9999-12-31,IN,AB
1347,1888,2021-10-07,2021-01-05,2021-04-02,RE,CE
